"model","Count"
"cx-9",7527
"mystique",7511
"montego",7510
"trooper",7384
"mazda5",7287
"sts",7271
"rabbit",7235
"compass",7235
"endeavor",7183
"xg350",7172
"940",7168
"caprice",7110
"rdx",6996
"boxster",6972
"bravada",6917
"magnum",6890
"ram-cargo",6829
"mirage",6821
"h3",6810
"g20",6788
"aviator",6767
"cutlass",6749
"mkz",6669
"ls-400",6655
"eclipse-spyder",6518
"e-350",6464
"skylark",6448
"tt",6360
"chevy-van",6360
"montero",6357
"truck",6286
"grand-vitara",6242
"discovery",6229
"armada",6187
"venza",6180
"c/k-3500-series",6038
"slk-class",6036
"tracer",5987
"b9-tribeca",5968
"c70",5925
"m3",5901
"azera",5872
"xl7",5748
"cayenne",5721
"touareg",5705
"sprinter-cargo",5671
"low-cab-forward-450",5613
"aurora",5580
"eighty-eight-royale",5559
"breeze",5545
"silverado-2500",5538
"nitro",5524
"excursion",5477
"mkx",5475
"protege5",5472
"range-rover-sport",5463
"350z",5422
"safari",5421
"diamante",5388
"p30",5352
"altima-hybrid",5332
"xc",5297
"gl-class",5281
"torrent",5256
"lr3",5243
"lhs",5163
"f-150-heritage",5159
"silverado-1500-classic",5155
"ram-pickup-3500",5071
"lx-470",5061
"a8",5048
"s4",5041
"9000",4926
"escape-hybrid",4868
"corsica",4768
"gs-350",4764
"millenia",4738
"xd",4736
"740",4575
"legend",4536
"t100",4513
"enclave",4491
"amanti",4476
"silhouette",4427
"le-baron",4424
"z4",4387
"escalade-esv",4331
"w35042",4328
"passport",4252
"is-300",4246
"bronco",4211
"traverse",4141
"h2",4091
"q7",4067
"rondo",4066
"roadmaster",4060
"prelude",4052
"s-type",3983
"sierra-c-k-3500",3972
"v50",3965
"allroad-quattro",3928
"a3",3910
"riviera",3891
"escalade-ext",3889
"960",3883
"aztek",3881
"sport-van",3863
"ls-460",3819
"baja",3811
"560-class",3809
"discovery-series-ii",3706
"journey",3692
"taurus-x",3650
"v40",3586
"m2",3571
"forenza",3569
"g-series",3566
"outlook",3529
"g37-sedan",3524
"9-7x",3490
"metro",3416
"r-class",3405
"sc-430",3324
"qx56",3318
"eos",3317
"stripped-chassis-motorhome",3286
"s2000",3236
"safari-cargo",3183
"zephyr",3167
"silverado-3500",3167
"entourage",3166
"aerio",3086
"tempo",3047
"rx-8",2996
"insight",2983
"econoline-wagon",2955
"acclaim",2943
"s-10-blazer",2901
"q45",2887
"lgt-convtnl-f",2860
"sierra-classic-3500",2846
"rainier",2823
"tiguan",2818
"gto",2752
"lr2",2721
"silverado-2500hd-classic",2687
"tribeca",2656
"achieva",2628
"sx4",2614
"previa",2582
"w22",2555
"g5",2540
"sprinter",2515
"190-class",2481
"6-series",2480
"xl-883",2478
"ninety-eight",2470
"q5",2419
"catera",2344
"9-2x",2325
"veracruz",2324
"mustang-svt-cobra",2321
"trans-sport",2320
"spirit",2312
"soul",2300
"aerostar",2298
"gsx600f",2284
"type-1-sedan",2273
"mark-viii",2260
"impreza-wrx",2260
"fortwo",2248
"xl-1200",2222
"xk-series",2209
"cooper-clubman",2202
"crossfire",2191
"construction",2175
"ex35",2138
"flhxi",2123
"monterey",2094
"380-class",2094
"solstice",2089
"new-yorker",2086
"gsx-r750",2082
"med-conventional",2058
"cbr900rr",2031
"300zx",2025
"l300",2019
"aspen",1993
"vn1500-n",1991
"c/k-10-series",1983
"probe",1981
"cc",1979
"vn1600",1956
"civic-del-sol",1953
"eurovan",1939
"expedition-el",1937
"hombre",1929
"w45042",1895
"freelander",1893
"sierra-1500-classic",1883
"sierra-2500hd-classic",1881
"envoy-xuv",1879
"fleetwood",1862
"3000gt",1861
"glk-class",1841
"vtx1800r",1830
"savana",1821
"relay",1781
"gl1800",1772
"terrain",1763
"esteem",1758
"brougham",1749
"flex",1738
"mark-lt",1725
"cls-class",1685
"cj-7",1673
"lumina-minivan",1659
"challenger",1643
"1-series",1621
"sidekick",1607
"nova",1593
"impreza-wrx-sti",1586
"silverado-3500hd",1574
"vtx1300s",1571
"vt600c",1571
"ltd-crown-victoria",1561
"cabriolet",1556
"silverado-1500hd",1546
"paseo",1544
"flhrci",1532
"m5",1524
"columbia",1522
"vtx1300c",1520
"xc60",1516
"shadow",1509
"f-530",1503
"200sx",1500
"vitara",1493
"celebrity",1491
"fusion-hybrid",1482
"ascender",1459
"mazdaspeed3",1440
"944",1427
"cl-class",1399
"topaz",1379
"sky",1371
"c4c042",1358
"ram-250",1347
"ram-150",1347
"forte",1331
"mks",1329
"montana-sv6",1314
"gs-400",1310
"a5",1300
"beretta",1298
"mr2-spyder",1296
"terraza",1283
"routan",1278
"el-camino",1255
"xg300",1250
"420-class",1243
"mc-9-intercity",1241
"vn900b6",1233
"fe84d",1211
"malibu-classic",1206
"elantra-touring",1194
"xlh-883-deluxe",1188
"astra",1181
"c30",1178
"f-150-svt-lightning",1174
"sundance",1170
"vanagon",1156
"lancer-evolution",1151
"touareg-2",1150
"cube",1149
"flhri",1148
"sc-400",1140
"cb250",1138
"electra",1137
"j30",1127
"spider",1121
"rx-7",1117
"dura",1116
"rx-450h",1113
"mariner-hybrid",1112
"s60-r",1109
"transit-connect",1108
"c/k-20-series",1101
"m",1060
"silverado-1500-ss",1059
"450",1055
"accord-crosstour",1053
"500-class",1050
"rio5",1045
"express-cutaway",1037
"r32",1033
"fx45",1029
"sunbird",1017
"vandura",999
"vt1100c2",979
"cruze",978
"240sx",970
"drw-super-duty",963
"stanza",953
"f-250-sd",952
"dynasty",947
"defender",944
"c-k-30",938
"mx-6",936
"sc-300",924
"amigo",920
"ssr",914
"fxrs",912
"delta-eighty-eight-royale",912
"mazdaspeed6",911
"axiom",911
"280",908
"100",899
"supra",897
"m45",890
"marauder",884
"shelby-gt500",876
"fe639",868
"g37",862
"aspire",860
"commercial-chass",845
"gs-430",842
"comanche",832
"vision",828
"sierra-1500hd",828
"columbia-120",828
"leganza",807
"oasis",802
"sx4-crossover",801
"windstar-cargo",797
"nubira",794
"transporter",791
"mr2",791
"grand-wagoneer",769
"4700",767
"lx-450",752
"yukon-denali",751
"g8",748
"r1100s",745
"v70-r",743
"90",734
"sierra-3500hd",728
"cayman",727
"neon-srt-4",722
"reno",721
"vn800-a",711
"b-series-truck",699
"s6",698
"s5",697
"lanos",694
"mark-vii",688
"civic-crx",683
"xl-1200c",682
"sterling",674
"k20",671
"verona",670
"genesis",663
"h2-sut",660
"focus-svt",659
"stealth",655
"ex500-d",655
"sierra-classic-2500",652
"g-class",651
"ram-100",650
"xjr",649
"krystal-koach",649
"viper",645
"talon",645
"r/v-10-series",642
"fiesta",640
"satellite",638
"colt",637
"thing",636
"rodeo-sport",636
"mgb",631
"lss",629
"hs-250h",629
"6000",621
"s90",618
"raider",610
"sportvan",609
"c-k-2500",607
"cts-v",604
"flhtcui",601
"g37-coupe",595
"tahoe-limited/z71",592
"is-350",588
"xlr",587
"c-10",578
"c-k-1500",575
"flstfi",570
"gl1500c",568
"400-class",564
"dart",555
"sierra-3500hd-cc",554
"regency",548
"cn250",545
"zrx1200r",539
"gx-460",539
"cressida",537
"cb650",535
"summit",524
"xf",522
"s8",521
"bronco-ii",512
"fiero",509
"f-800",507
"w4s042",506
"xr400r",505
"juke",504
"midget",501
"loyale",497
"fifth-avenue",497
"vt1100c",488
"vigor",486
"lx-570",483
"323",483
"vs1400glp",478
"sierra-classic-1500",475
"flstci",466
"sierra",461
"capri",459
"r3500",449
"760",449
"professional-cha",445
"allante",445
"cutlass-calais",444
"928",438
"lr4",431
"gl1200l",429
"fxd",425
"silverado-3500hd-cc",423
"x6",421
"sierra-c-k-2500",421
"rail-monocoque",411
"mx-3",411
"excel",409
"ud1800cs",408
"240-class",408
"lancer-sportback",402
"1754",400
"m6",395
"fxst",393
"v3500",389
"mazdaspeed-mx-5",387
"vt600cd",386
"borrego",386
"fe649",381
"chassis",380
"200",380
"fxdbi",377
"flstc",375
"v90",374
"r1200c",371
"xkr",370
"cayman-s",369
"ftr",363
"custom-cruiser",363
"toronado",361
"genesis-coupe",360
"4000-series",359
"wagoneer",357
"124",347
"navigator-l",343
"1800e",342
"300c-srt-8",338
"i-series",337
"rs4",332
"ram-350",329
"r/v-20-series",328
"srw-super-duty",325
"s-15-jimmy",325
"reatta",324
"flsts",324
"topkick",323
"gmt-400",322
"silverado-3500-classic",321
"m37",320
"s-15",318
"svx",316
"ramcharger",315
"samurai",311
"frr",311
"festiva",309
"c-20",306
"260-class",306
"prowler",302
"fleetwood-brougham",301
"fe449",301
"p3500",298
"reliant-k-america",297
"quattroporte",296
"outlander-sport",295
"chevy-van-classic",293
"expo",290
"r/v-1500-series",289
"phaeton",286
"gli",286
"mighty-max-pickup",285
"med.hvy.convntnl",279
"cutaway",278
"motorhome",277
"aries-america",276
"p42",275
"elise",275
"coupe",275
"continental-gt",271
"c4e042",271
"sierra-c3",270
"navajo",267
"imperial",267
"saa-cutaway",265
"r/v-3500-series",260
"mh-stripped-chassis",255
"rally-wagon",253
"c-4500",252
"r30",249
"370z",247
"929",245
"r1100rt",244
"contour-svt",244
"barracuda",241
"malibu-hybrid",240
"600",239
"c-15",238
"fxdwg",236
"comm-strip-chass",236
"350-class",236
"zx750-l",235
"nx",232
"vehicross",231
"monza",230
"c-30",229
"is-250c",228
"ram-50-pickup",227
"c50",226
"nsx",225
"ion-red-line",225
"veloce",222
"nrr",218
"club",218
"es-250",216
"forte-koup",213
"corrado",212
"reliant-k",210
"f430",209
"lemans",208
"968",206
"sierra-3500-classic",202
"mm-chassis",201
"f-600g",201
"z4-m",200
"x-90",200
"mazdaspeed-protege",198
"fxstb",198
"c/k-30-series",197
"8-series",197
"gsx-r600",196
"euro",196
"f355",194
"db9",194
"cbr600f4",188
"ram-pickup-1500-srt-10",186
"s-series-monocoque",183
"crossfire-srt-6",183
"flhpi",182
"cooper-countryman",181
"v30",180
"stripped-chassis",180
"express-rv",180
"slx",179
"scrambler",179
"fxstdi",179
"swift",178
"panamera",178
"aries-k",178
"z8",177
"280zx",177
"parisienne",176
"v2500",175
"sv650",173
"fox",173
"308",173
"924",172
"3700",172
"r1100rt/rtl",171
"horizon",166
"vl1500",162
"g3",162
"jeep",161
"grand-cherokee-srt-8",160
"ex500-a",160
"4000",159
"gsx1300r",154
"gs-450h",151
"daytona",150
"g-p",149
"gsx-r1000",147
"laser",146
"360",146
"charger-srt-8",145
"forwrd-cntrl-chs",144
"f-700",144
"gl",143
"m30",141
"cr-z",140
"continental-flying-spur",140
"c-series",140
"granturismo",139
"v8-vantage",138
"rs-6",138
"van",136
"chevette",136
"fg639",135
"ct-200h",135
"mazda2",134
"ls-600h-l",134
"universal",133
"gt-r",133
"f-100",133
"milan-hybrid",131
"ram-chassis-3500",130
"mkt",130
"gs500e",130
"xr250",129
"storm",129
"chevy-trk",129
"trooper-ii",127
"hummer",127
"g37-convertible",127
"newport",126
"m2-cyclone",126
"vt750cd2",124
"catalina",124
"w4500",122
"5000",122
"d350",121
"continental-gtc",120
"fe6",119
"cutlass-salon",117
"c6500-c7d",115
"5500",115
"780",114
"silver-spur",113
"db7",113
"j8c042",112
"505",112
"r/v-2500-series",111
"cbr600rr",111
"s-type-r",109
"omni",108
"firebolt-xb9r",108
"escalade-hybrid",108
"ld15a",107
"esprit",106
"733i",106
"special",105
"k100rs",103
"328",103
"fx50",102
"xlr-v",101
"930",100
"magnum-srt-8",99
"d30",99
"flht",98
"caballero",98
"sierra-c-k-1500",97
"prius-v",97
"dts-pro",97
"164",97
"350",95
"conventional-n",92
"scirocco",91
"ls650",90
"sts-v",89
"spyder",89
"is-f",89
"gallardo",87
"a7",87
"gt",86
"g25-sedan",86
"sonata-hybrid",85
"mark-vi",85
"diplomat",84
"rv-super-duty",82
"skyhawk",81
"flhtc",81
"exige",79
"blackwood",79
"arnage",79
"200-convertible",79
"fxstsi",77
"b2200",77
"tts",76
"pulsar",76
"k10",76
"citation",76
"500",76
"yzf-r1",75
"cimarron",75
"80",75
"zdx",74
"is-350c",74
"xj",73
"justy",73
"h3t",73
"600-class",73
"eagle-30",72
"aeromaster",72
"forte-5-door",71
"xr4ti",69
"r8",69
"ltd",69
"d10",69
"cj-5",69
"p3",68
"h1",68
"912",68
"type-a",67
"kizashi",67
"el",67
"marquis",66
"fe8",66
"silverado-1500hd-classic",65
"w350",64
"dmc-12",64
"quantum",63
"agon",63
"typhoon",62
"savana-cutaway",62
"gtv-6",62
"f-550-super-duty",61
"veloster",60
"scout",60
"fairmont",60
"esperante",60
"xk",59
"245",59
"ud1800",58
"mkz-hybrid",58
"corniche",58
"348",58
"xl-883c",57
"w5r042",57
"scoupe",57
"fe4",57
"cargo-low-tilt",57
"ventura",56
"le-mans",56
"c7d042",56
"360-modena",56
"1654",56
"mountain-master",55
"mondial",55
"j-10-pickup",54
"spitfire",53
"sonic",53
"fm6",53
"e-350-super-duty",53
"conquest",53
"caravelle",53
"c6d042",53
"testarossa",52
"econoln-supr",52
"dr-z400s",52
"crosstour",52
"k15",51
"gran-fury",51
"yzf-600r",50
"regular-cab-4wd",49
"7000-series",49
"4500",48
"sixty-special",47
"tsx-sport-wagon",46
"savana-passenger",46
"sw",45
"k1200lt",45
"250",45
"ud1000",44
"mini-ram-van",43
"m56",43
"javelin",43
"econoline-stripped-chassis",42
"xc/rv",41
"v12-vanquish",41
"c5d042",41
"v8",40
"550-maranello",40
"242",40
"vt800",39
"phantom",39
"milano",39
"brooklands",39
"x5-m",38
"t-series",38
"dl",38
"575m",38
"t7f042-fvr",37
"fxsts",37
"c5u042",37
"b2600",37
"azure",37
"825",37
"3000-series",37
"c4500",36
"brat",36
"tr7",35
"k1200r",35
"corniche-ii",35
"145",35
"equator",34
"rally",33
"lw",33
"beetle",33
"pininfarina",32
"phasar",32
"chevelle",32
"244",31
"xjl",30
"spectrum",30
"r/v-30-series",30
"estate-wagon",30
"concord",29
"vanwagon",28
"9-3x",28
"456m",28
"z110",27
"x-1-9",27
"omega",27
"c7h042",27
"c-k-20",27
"x6-m",26
"volt",26
"f430-spider",26
"e-250-extended",26
"d200",26
"california",26
"c3500",26
"ud-series",25
"somerset",25
"silverado-1500-hybrid",25
"silver-spirit",25
"k2500",25
"tl1000r",24
"starion",24
"elan",24
"aero-8",24
"512tr",24
"325is",24
"stylus",23
"rocky",23
"firenza",23
"db7-tage",23
"sprint",22
"rvt1000r",22
"pay-star",22
"fm61f",22
"corona",22
"c6500",22
"axxess",22
"turbo",21
"syclone",21
"corvair-500",21
"550",21
"1000",21
"gransport",20
"gl-10",20
"c6000-c6d",20
"spinter-chassis-cab",19
"silver-seraph",19
"p20",19
"914",19
"612-scaglietti",19
"1753",19
"lynx",18
"220",18
"vfr800a",17
"slr-class",17
"saa-rv",17
"p1500",17
"granada",17
"continental-gt-speed",17
"c15",17
"430-scuderia",17
"400",17
"eagle-50",16
"range-rover-evoque",15
"c5500",15
"r35-conv",14
"luv",14
"j-20-pickup",14
"e-100",14
"cw50",14
"599-gtb-fiorano",14
"tahoe-hybrid",13
"sierra-1500hd-classic",13
"rally-/",13
"conventional-h",13
"quattrontum",12
"murcielago",12
"gv",12
"1724",12
"w300",11
"sierra-1500-hybrid",11
"r1500",11
"premier",11
"lumina-apv",11
"halfton-pickup",11
"glc",11
"fh2",11
"b-series",11
"alliance",11
"599",11
"405",11
"3500",11
"262",11
"xt",10
"turismo",10
"sprint-st",10
"precis",10
"phoenix",10
"500c",10
"430",10
"xj8-canada",9
"murano-crosscabriolet",9
"monaco",9
"mirada",9
"i-mark",9
"equus",9
"d21",9
"458-italia",9
"1854",9
"xjs",8
"tribute-hybrid",8
"superamerica",8
"somerset-regal",8
"optima-hybrid",8
"gs-460",8
"gl1500",8
"f512m",8
"exp",8
"cordoba",8
"cj7",8
"champ",8
"c4v042",8
"biturbo",8
"280-class",8
"starlet",7
"scorpio",7
"reliant",7
"rampage",7
"mulsanne",7
"mazda6-sport",7
"impulse",7
"echo-canada",7
"citation-ii",7
"57",7
"456",7
"380",7
"v20",6
"range-rover-evoque-coupe",6
"p6t042",6
"optra-canada",6
"hi-cube",6
"93",6
"710",6
"265",6
"xj12",5
"vt750dc",5
"sx4-sportback",5
"sierra-classic-2500hd",5
"s",5
"r2500",5
"plus-8",5
"h1-alpha",5
"flying-spur",5
"diablo",5
"d100",5
"c-k-10-suburban",5
"560",5
"210",5
"xk8",4
"xjs-canada",4
"tesla-roadster",4
"sunfire-canada",4
"silver-dawn",4
"santa-fe-can",4
"s10",4
"royale",4
"regular-cab-2wd",4
"nv-cargo",4
"mighty-max",4
"land-cru-canada",4
"jimny",4
"grand-le-mans",4
"glf",4
"forsa",4
"delta-eighty-eight",4
"countach",4
"carrera-gt",4
"cabrioletio",4
"apv",4
"alfetta",4
"9-4x",4
"810",4
"510",4
"264",4
"240d",4
"xjrs",3
"w250",3
"virage",3
"sls-class",3
"ram-chassis-4500",3
"pickup/cab-chasis",3
"monterosport-pr",3
"m35h",3
"j2000",3
"j10",3
"euro-canada",3
"dbs",3
"cutlass-cruiser",3
"courier",3
"c-k-10-blazer",3
"b3000",3
"900-canada",3
"720",3
"5-series-sport",3
"325i",3
"318i",3
"wave",2
"v12-vantage",2
"tt-rs",2
"tredia",2
"sports-sedan",2
"sigma",2
"rx",2
"ram-charger",2
"rabbit-pickup",2
"pursuit",2
"phantom-drophead-coupe",2
"odyssey-canada",2
"mini-ram",2
"ln7",2
"lebaron",2
"j20",2
"denali",2
"dasher",2
"continental-flying-spur-speed",2
"captiva-sport-fleet",2
"cab/chassis",2
"c/v",2
"7000",2
"348tb",2
"ghost",1
"evora",1
