"start_odom","Count"
"39000",763
"210",763
"165",763
"120000",763
"23000",760
"47000",758
"70000",757
"49000",757
"63000",756
"37000",756
"17000",753
"85000",751
"22000",750
"174",748
"16000",747
"42000",746
"167",746
"90000",744
"163",744
"159",743
"71000",742
"34000",740
"169",740
"185",733
"18000",730
"161",730
"44000",729
"12000",727
"72000",725
"48000",723
"27000",723
"62000",722
"172",721
"212",720
"73000",717
"201",717
"168",713
"68000",712
"46000",711
"69000",709
"64000",709
"58000",706
"195",704
"164",704
"162",703
"24000",702
"19000",701
"181",700
"179",700
"81000",698
"26000",698
"173",697
"178",696
"78000",692
"74000",691
"171",691
"190",686
"187",685
"83000",683
"220",682
"176",682
"177",681
"166",678
"245",675
"110000",675
"95000",671
"86000",670
"105000",670
"84000",669
"66000",669
"198",669
"79000",667
"189",667
"10000",662
"225",661
"215",659
"89000",658
"205",657
"184",655
"98000",654
"183",654
"13000",652
"209",650
"191",649
"87000",644
"213",643
"188",643
"222",642
"202",637
"11000",637
"186",634
"14000",634
"192",629
"76000",628
"203",628
"240",625
"199",624
"77000",623
"109000",623
"208",620
"196",619
"221",617
"182",617
"193",613
"207",612
"241",610
"214",610
"204",610
"234",606
"82000",603
"251",602
"88000",599
"233",599
"125000",595
"197",593
"97000",591
"217",591
"223",588
"102000",588
"104000",587
"93000",586
"235",586
"231",586
"91000",584
"106000",584
"230",583
"256",582
"92000",580
"99000",579
"101000",579
"232",575
"103000",575
"107000",574
"400",573
"94000",572
"218",572
"216",572
"117000",572
"96000",569
"112000",566
"194",561
"119000",561
"130000",560
"255",559
"238",559
"121000",559
"236",557
"265",549
"226",549
"243",546
"224",543
"253",540
"115000",539
"228",538
"321",536
"140000",536
"113000",535
"244",534
"247",529
"280",524
"257",521
"239",521
"116000",520
"108000",518
"242",516
"118000",516
"219",515
"206",515
"254",514
"248",514
"246",511
"258",510
"260",507
"227",505
"237",499
"114000",498
"111000",498
"285",493
"229",493
"271",492
"275",491
"129000",491
"263",489
"132000",487
"350",485
"123000",485
"500",484
"268",480
"249",475
"320",470
"252",470
"124000",470
"270",468
"42500",466
"289",466
"312",465
"262",465
"301",464
"122000",464
"325",460
"150000",458
"283",457
"267",456
"259",455
"266",454
"272",452
"269",452
"127000",451
"278",445
"24500",443
"9000",439
"277",439
"345",438
"126000",436
"264",435
"287",434
"273",434
"137000",434
"135000",433
"290",432
"32500",428
"322",427
"305",426
"288",426
"276",425
"291",420
"295",417
"14500",415
"298",412
"136000",412
"131000",411
"297",410
"310",409
"308",408
"29500",407
"274",407
"315",406
"302",406
"26500",406
"8000",403
"299",403
"12500",400
"34500",399
"282",399
"313",398
"294",398
"286",397
"284",397
"281",395
"134000",395
"304",394
"128000",394
"64500",393
"292",393
"279",389
"145000",389
"48500",388
"293",387
"45200",384
"330",384
"49500",383
"323",383
"303",383
"306",382
"46500",381
"39500",381
"82500",380
"62500",380
"311",380
"318",379
"261",379
"355",378
"74500",377
"72500",377
"324",375
"138000",374
"141000",372
"68500",371
"38500",371
"133000",371
"360",370
"326",370
"307",370
"340",368
"328",367
"327",367
"43500",366
"339",366
"144000",366
"51200",365
"344",365
"67500",364
"296",364
"309",363
"142000",361
"11500",360
"5000",357
"18500",357
"352",356
"37500",354
"17500",354
"365",353
"341",353
"316",352
"28500",352
"31500",351
"47500",350
"450",350
"36500",350
"351",350
"335",350
"27500",349
"348",348
"317",347
"44500",345
"380",345
"333",345
"71500",344
"314",344
"19500",344
"143000",343
"139000",343
"375",342
"356",341
"41200",340
"319",340
"94500",339
"69500",339
"342",339
"16500",339
"92500",338
"50100",338
"13500",337
"40100",336
"22500",335
"160000",335
"53200",334
"331",334
"20500",334
"41500",333
"61200",332
"364",332
"84500",331
"332",331
"10500",331
"334",330
"76500",329
"338",329
"21500",329
"6000",328
"354",328
"63500",327
"329",327
"147000",327
"377",326
"23500",326
"86500",325
"353",325
"336",325
"361",321
"77500",320
"7000",319
"61500",319
"54200",319
"337",319
"54500",318
"346",318
"78500",316
"73500",316
"60500",316
"385",316
"358",316
"33500",316
"357",315
"20100",315
"40500",314
"376",314
"158000",314
"80500",313
"343",313
"89500",312
"410",312
"30200",312
"151000",311
"11200",311
"401",310
"146000",310
"35500",309
"347",309
"367",308
"50500",307
"371",307
"43200",306
"359",306
"25500",306
"66500",305
"65200",305
"51500",305
"396",304
"362",304
"31200",304
"369",303
"32100",302
"56500",301
"15500",301
"87500",300
"53500",300
"374",300
"349",300
"30500",300
"30100",300
"366",299
"381",298
"65500",297
"60100",297
"388",296
"384",295
"368",294
"390",293
"383",293
"363",293
"83500",292
"56200",291
"420",291
"392",291
"421",290
"415",290
"389",290
"386",288
"154000",288
"149000",288
"98500",287
"75200",287
"378",287
"152000",287
"96500",286
"42100",286
"52500",285
"413",285
"15200",285
"440",284
"432",284
"97500",283
"70100",283
"91500",282
"409",282
"81200",281
"63200",281
"13200",281
"58500",280
"1234",280
"45500",279
"40200",279
"156000",279
"99500",278
"379",278
"81500",277
"71200",277
"102500",277
"58200",276
"54300",276
"408",275
"155000",275
"153000",275
"75500",274
"425",274
"35600",274
"165000",274
"600",273
"404",272
"25600",272
"59500",271
"412",271
"387",271
"148000",271
"70500",270
"406",270
"62300",268
"430",267
"38800",267
"372",266
"10200",266
"57500",265
"47800",265
"402",265
"35200",265
"93500",264
"59900",264
"435",264
"398",263
"170000",263
"83200",262
"49800",262
"407",262
"395",261
"394",261
"37800",261
"80100",260
"36400",260
"36200",260
"28600",260
"73200",259
"456",259
"382",259
"33200",259
"101200",259
"79500",258
"419",258
"15400",258
"36600",257
"48900",256
"426",256
"39200",256
"88500",255
"57800",255
"8500",254
"58900",254
"52400",254
"46200",254
"34200",254
"29900",254
"460",253
"33400",253
"74200",252
"59600",252
"52100",252
"50200",252
"46600",252
"455",252
"370",252
"33600",252
"26600",252
"13800",252
"405",251
"31800",251
"15600",251
"55200",250
"454",250
"44200",250
"416",250
"391",250
"373",250
"29600",250
"26800",250
"112500",250
"52300",249
"414",249
"60200",248
"56400",248
"46700",248
"418",248
"38900",248
"51300",247
"46900",247
"43600",247
"43100",247
"422",247
"38600",247
"22100",247
"91200",246
"445",246
"38200",246
"15100",246
"65800",245
"53600",245
"47700",245
"411",245
"39900",245
"24300",245
"22300",245
"17600",245
"79800",244
"49700",244
"35400",244
"25100",244
"157000",244
"13400",244
"434",243
"40800",243
"17800",243
"16200",243
"71700",242
"54800",242
"43800",242
"19200",242
"85200",241
"47600",241
"42700",241
"42200",241
"37600",241
"20200",241
"106500",241
"104500",241
"68900",240
"59200",240
"24100",240
"161000",240
"90500",239
"69900",239
"46800",239
"45600",239
"43700",239
"429",239
"423",239
"33100",239
"15800",239
"57200",238
"417",238
"40400",238
"399",238
"36800",238
"34600",238
"24800",238
"17200",238
"436",237
"40300",237
"35700",237
"14200",237
"10100",237
"85500",236
"77800",236
"59800",236
"37400",236
"78600",235
"64200",235
"56800",235
"50400",235
"46100",235
"41800",235
"403",235
"39700",235
"38400",235
"163000",235
"80200",234
"67800",234
"64400",234
"54100",234
"427",234
"32600",234
"30600",234
"27700",234
"12600",234
"72100",233
"69800",233
"53400",233
"52900",233
"17400",233
"159000",233
"67700",232
"452",232
"397",232
"26700",232
"21600",232
"21300",232
"75400",231
"7500",231
"72300",231
"67200",231
"45800",231
"29800",231
"28900",231
"69100",230
"66900",230
"57900",230
"55900",230
"48600",230
"44300",230
"39100",230
"37200",230
"35900",230
"24400",230
"103200",230
"9500",229
"68700",229
"53800",229
"50900",229
"47200",229
"46400",229
"42600",229
"34700",229
"23100",229
"18200",229
"16900",229
"114500",229
"108500",229
"63400",228
"61600",228
"56600",228
"47100",228
"45100",228
"44800",228
"42300",228
"36700",228
"16700",228
"68200",227
"62800",227
"57600",227
"57300",227
"55600",227
"55500",227
"52800",227
"431",227
"41400",227
"37900",227
"29300",227
"20800",227
"180000",227
"92100",226
"51800",226
"50800",226
"49900",226
"465",226
"14800",226
"12300",226
"92300",225
"65300",225
"64800",225
"62100",225
"58600",225
"48200",225
"34900",225
"34800",225
"29100",225
"89900",224
"72800",224
"69200",224
"49600",224
"480",224
"47900",224
"475",224
"45300",224
"44600",224
"4000",224
"32700",224
"27400",224
"26300",224
"10800",224
"100500",224
"90200",223
"75800",223
"66800",223
"66700",223
"57700",223
"54900",223
"53700",223
"52600",223
"50700",223
"44100",223
"428",223
"18800",223
"14400",223
"1000",223
"64300",222
"60400",222
"453",222
"451",222
"442",222
"26400",222
"15900",222
"107500",222
"61800",221
"55300",221
"50300",221
"40600",221
"393",221
"37700",221
"34400",221
"28300",221
"27600",221
"18600",221
"16400",221
"13600",221
"63300",220
"58700",220
"52200",220
"48300",220
"25800",220
"21800",220
"11600",220
"105200",220
"95200",219
"93200",219
"55400",219
"444",219
"433",219
"32900",219
"16600",219
"12700",219
"12200",219
"73800",218
"62700",218
"61300",218
"60900",218
"47300",218
"43900",218
"36300",218
"36100",218
"27800",218
"19800",218
"12800",218
"11800",218
"100200",218
"77400",217
"70700",217
"58400",217
"54400",217
"43300",217
"39800",217
"26900",217
"17900",217
"17700",217
"66600",216
"56900",216
"470",216
"45700",216
"37100",216
"32200",216
"15700",216
"72600",215
"68800",215
"60600",215
"457",215
"41600",215
"40700",215
"34100",215
"33700",215
"32800",215
"20300",215
"18900",215
"15300",215
"75300",214
"71400",214
"67100",214
"59400",214
"56300",214
"44900",214
"40900",214
"32300",214
"26100",214
"23200",214
"14600",214
"82300",213
"78900",213
"77100",213
"76800",213
"62200",213
"56700",213
"49200",213
"48400",213
"41700",213
"33800",213
"30700",213
"23600",213
"96700",212
"76400",212
"71600",212
"51900",212
"48700",212
"461",212
"44700",212
"41100",212
"27900",212
"27100",212
"24600",212
"21200",212
"89200",211
"79200",211
"73100",211
"64100",211
"60700",211
"55100",211
"50600",211
"441",211
"437",211
"41300",211
"40125",211
"27300",211
"22600",211
"13700",211
"10900",211
"70300",210
"66300",210
"62600",210
"59700",210
"51400",210
"46300",210
"35800",210
"31300",210
"25300",210
"10600",210
"75600",209
"70400",209
"67400",209
"60300",209
"55700",209
"48800",209
"45400",209
"39600",209
"31600",209
"28100",209
"25400",209
"24200",209
"12900",209
"109500",209
"83900",208
"68400",208
"67900",208
"64900",208
"62400",208
"488",208
"471",208
"39300",208
"26200",208
"16800",208
"162000",208
"117500",208
"95500",207
"86600",207
"74300",207
"73600",207
"73400",207
"72700",207
"72400",207
"65900",207
"53300",207
"52700",207
"469",207
"42800",207
"35100",207
"29700",207
"29400",207
"21400",207
"83400",206
"74400",206
"51222",206
"51100",206
"438",206
"21700",206
"19700",206
"164000",206
"12400",206
"10400",206
"73300",205
"70800",205
"67600",205
"66100",205
"61400",205
"468",205
"39400",205
"20600",205
"10300",205
"86400",204
"79900",204
"75100",204
"74800",204
"65100",204
"58300",204
"51700",204
"45900",204
"32400",204
"31400",204
"23300",204
"21900",204
"17300",204
"14900",204
"14100",204
"13300",204
"13100",204
"53100",203
"49100",203
"462",203
"449",203
"42900",203
"37300",203
"28200",203
"24900",203
"23400",203
"19900",203
"101500",203
"99999",202
"68100",202
"510",202
"474",202
"43222",202
"33300",202
"30800",202
"27200",202
"22400",202
"14700",202
"11400",202
"84600",201
"82100",201
"81700",201
"71900",201
"71800",201
"69700",201
"65700",201
"65400",201
"57400",201
"54600",201
"540",201
"48100",201
"443",201
"38700",201
"36900",201
"31222",201
"28800",201
"19600",201
"19400",201
"11700",201
"9800",200
"85400",200
"84400",200
"79400",200
"69300",200
"63700",200
"447",200
"25900",200
"22800",200
"11900",200
"103500",200
"61700",199
"56100",199
"54700",199
"459",199
"43400",199
"424",199
"16300",199
"14300",199
"96200",198
"80600",198
"77600",198
"30300",198
"20900",198
"10700",198
"95800",197
"90100",197
"85800",197
"76600",197
"76200",197
"75900",197
"69600",197
"60800",197
"501",197
"448",197
"42400",197
"126500",197
"123500",197
"82800",196
"80700",196
"63800",196
"446",196
"29200",196
"28700",196
"25200",196
"23900",196
"20700",196
"18300",196
"175000",196
"104200",196
"77200",195
"73700",195
"71300",195
"68600",195
"64600",195
"485",195
"13900",195
"115200",195
"113200",195
"84700",194
"83600",194
"72200",194
"68300",194
"45222",194
"41900",194
"23800",194
"19100",194
"18700",194
"9700",193
"89600",193
"87900",193
"70200",193
"58800",193
"51600",193
"499",193
"497",193
"463",193
"24700",193
"2000",193
"18100",193
"17100",193
"110200",193
"102300",193
"86200",192
"85100",192
"74600",192
"64700",192
"59300",192
"58100",192
"57100",192
"486",192
"20400",192
"167000",192
"116500",192
"93400",191
"82200",191
"78800",191
"47400",191
"472",191
"439",191
"3000",191
"16100",191
"11300",191
"87600",190
"87400",190
"81300",190
"80900",190
"76300",190
"53222",190
"512",190
"495",190
"49300",190
"38100",190
"98600",189
"92800",189
"88100",189
"78700",189
"74900",189
"74700",189
"40123",189
"30900",189
"168000",189
"85300",188
"78200",188
"77700",188
"66400",188
"34300",188
"30400",188
"19300",188
"105500",188
"93900",187
"77900",187
"74100",187
"700",187
"62900",187
"60222",187
"166000",187
"122500",187
"113500",187
"93600",186
"85700",186
"76900",186
"490",186
"4500",186
"169000",186
"134500",186
"118500",186
"86300",185
"85600",185
"78300",185
"73900",185
"55800",185
"38300",185
"90800",184
"84300",184
"81400",184
"71100",184
"65600",184
"481",184
"473",184
"458",184
"31900",184
"31700",184
"18400",184
"12100",184
"119500",184
"9200",183
"89800",183
"89700",183
"77300",183
"63600",183
"63100",183
"61900",183
"31100",183
"25700",183
"23700",183
"100100",183
"95400",182
"86700",182
"8400",182
"82700",182
"76700",182
"36222",182
"30222",182
"22900",182
"95600",181
"8900",181
"82600",181
"81222",181
"69400",181
"66200",181
"63900",181
"464",181
"33900",181
"21100",181
"94200",180
"84200",180
"79100",180
"78100",180
"61222",180
"519",180
"40111",180
"173000",180
"132500",180
"97800",179
"8600",179
"79700",179
"79600",179
"75700",179
"509",179
"49400",179
"489",179
"44400",179
"128500",179
"124500",179
"105600",179
"100800",179
"99600",178
"92600",178
"83700",178
"800",178
"477",178
"22700",178
"96300",177
"94600",177
"88200",177
"80400",177
"63222",177
"505",177
"467",177
"91700",176
"8800",176
"85900",176
"83300",176
"81900",176
"76100",176
"53900",176
"507",176
"50123",176
"35300",176
"23222",176
"82900",175
"67300",175
"28400",175
"171000",175
"110500",175
"108200",175
"98400",174
"81600",174
"494",174
"127500",174
"121500",174
"91300",173
"90400",173
"87700",173
"87200",173
"86900",173
"84900",173
"543",173
"42111",173
"93800",172
"93300",172
"8700",172
"86800",172
"545",172
"100600",172
"96900",171
"9600",171
"88900",171
"87800",171
"80300",171
"78400",171
"555",171
"492",171
"466",171
"98900",170
"98200",170
"89100",170
"88600",170
"70900",170
"6500",170
"524",170
"476",170
"95700",169
"91600",169
"87300",169
"84800",169
"535",169
"522",169
"502",169
"44010",169
"41222",169
"22200",169
"106700",169
"81800",168
"72900",168
"70600",168
"515",168
"498",168
"90700",167
"88800",167
"59100",167
"525",167
"35222",167
"33222",167
"13222",167
"111200",167
"97700",166
"91900",166
"79300",166
"550",166
"54222",166
"514",166
"487",166
"43250",166
"123600",166
"12345",166
"100300",166
"91800",165
"90600",165
"61100",165
"59222",165
"117200",165
"115500",165
"109200",165
"106600",165
"106200",165
"9900",164
"97300",164
"9400",164
"89300",164
"7200",164
"544",164
"538",164
"526",164
"52333",164
"482",164
"174000",164
"125500",164
"97400",163
"91222",163
"84100",163
"60125",163
"516",163
"50125",163
"34222",163
"98800",162
"8200",162
"5500",162
"508",162
"50222",162
"88400",161
"83100",161
"56222",161
"484",161
"20111",161
"112300",161
"106800",161
"103700",161
"97100",160
"9300",160
"91400",160
"82400",160
"70111",160
"48222",160
"44111",160
"111500",160
"97900",159
"97200",159
"94800",159
"9100",159
"6200",159
"58222",159
"547",159
"39222",159
"11100",159
"107200",159
"104400",159
"102100",159
"100900",159
"95100",158
"88300",158
"87100",158
"503",158
"483",158
"30125",158
"30123",158
"116200",158
"90900",157
"89400",157
"8100",157
"71222",157
"541",157
"52111",157
"521",157
"49222",157
"491",157
"42010",157
"176000",157
"172000",157
"120500",157
"111111",157
"103100",157
"100700",157
"95900",156
"95300",156
"92700",156
"83800",156
"62111",156
"36250",156
"100400",156
"99800",155
"563",155
"513",155
"511",155
"506",155
"478",155
"109100",155
"105700",155
"91100",154
"900",154
"65222",154
"530",154
"496",154
"24111",154
"114200",154
"107300",154
"105400",154
"103300",154
"102400",154
"560",153
"527",153
"37010",153
"103600",153
"7400",152
"103400",152
"101800",152
"94400",151
"90300",151
"55010",151
"479",151
"43150",151
"200000",151
"15222",151
"129500",151
"98700",150
"96800",150
"96600",150
"8300",150
"80800",150
"7300",150
"62333",150
"57111",150
"551",150
"534",150
"528",150
"504",150
"38010",150
"115800",150
"99100",149
"98100",149
"92200",149
"7600",149
"517",149
"18222",149
"1500",149
"121300",149
"118200",149
"106900",149
"104600",149
"102900",149
"80125",148
"57222",148
"37222",148
"1200",148
"115600",148
"108800",148
"108600",148
"106222",148
"94300",147
"93222",147
"7800",147
"50211",147
"185000",147
"105100",147
"88700",146
"64222",146
"64111",146
"580",146
"536",146
"32123",146
"26555",146
"12111",146
"105800",146
"101900",146
"101300",146
"99300",145
"99200",145
"93700",145
"67222",145
"49010",145
"19222",145
"108300",145
"105300",145
"103222",145
"81100",144
"73222",144
"650",144
"567",144
"564",144
"55555",144
"46222",144
"41250",144
"33333",144
"24010",144
"101222",144
"632",143
"620",143
"571",143
"539",143
"532",143
"520",143
"48125",143
"47111",143
"40222",143
"25111",143
"21222",143
"16222",143
"14222",143
"102111",143
"99400",142
"94900",142
"93100",142
"67010",142
"570",142
"548",142
"50250",142
"38222",142
"22111",142
"179000",142
"12450",142
"104100",142
"101600",142
"97600",141
"7900",141
"561",141
"54123",141
"533",141
"5200",141
"493",141
"23650",141
"101100",141
"96400",140
"94700",140
"546",140
"45125",140
"40250",140
"35214",140
"34010",140
"25010",140
"127800",140
"119200",140
"117800",140
"108900",140
"108400",140
"107100",140
"104800",140
"96100",139
"94100",139
"92900",139
"92400",139
"86100",139
"74521",139
"72111",139
"6800",139
"52145",139
"518",139
"46123",139
"20222",139
"20120",139
"177000",139
"114800",139
"109700",139
"103800",139
"78222",138
"566",138
"549",138
"52345",138
"44222",138
"41256",138
"34567",138
"29333",138
"29222",138
"22010",138
"104300",138
"102200",138
"101400",138
"80123",137
"6700",137
"645",137
"62145",137
"42121",137
"32111",137
"14250",137
"115400",137
"104900",137
"102700",137
"82111",136
"75222",136
"7100",136
"588",136
"54321",136
"49950",136
"35211",136
"27111",136
"27010",136
"23456",136
"131200",136
"12250",136
"113400",136
"76555",135
"68520",135
"64321",135
"60123",135
"53210",135
"50111",135
"45123",135
"41225",135
"35210",135
"3500",135
"34555",135
"23123",135
"137500",135
"136500",135
"123456",135
"121600",135
"111400",135
"106100",135
"66123",134
"585",134
"559",134
"43021",134
"36450",134
"33250",134
"32456",134
"31456",134
"31010",134
"29010",134
"190000",134
"109600",134
"106300",134
"99900",133
"99700",133
"62150",133
"55145",133
"531",133
"46420",133
"40258",133
"36212",133
"35111",133
"28222",133
"26222",133
"23001",133
"14010",133
"138500",133
"120100",133
"116700",133
"115900",133
"72145",132
"65550",132
"6400",132
"60210",132
"562",132
"56123",132
"50321",132
"50120",132
"45214",132
"42420",132
"41234",132
"35080",132
"35001",132
"34123",132
"28111",132
"22123",132
"14025",132
"12333",132
"110800",132
"109800",132
"105222",132
"65321",131
"6100",131
"556",131
"55255",131
"54111",131
"52666",131
"51234",131
"50150",131
"33145",131
"32333",131
"32145",131
"30124",131
"27145",131
"26123",131
"17250",131
"15123",131
"11250",131
"109222",131
"106400",131
"102800",131
"102600",131
"74222",130
"68123",130
"62345",130
"618",130
"578",130
"48521",130
"48010",130
"47666",130
"45444",130
"45210",130
"37150",130
"34125",130
"32560",130
"31254",130
"31245",130
"30250",130
"83222",129
"79850",129
"77123",129
"72333",129
"64123",129
"50490",129
"48522",129
"47250",129
"47123",129
"44920",129
"35120",129
"33210",129
"27456",129
"17750",129
"16010",129
"120200",129
"112200",129
"109900",129
"80111",128
"7700",128
"69222",128
"6900",128
"63444",128
"61250",128
"584",128
"523",128
"47850",128
"47520",128
"44785",128
"44521",128
"44123",128
"39123",128
"37111",128
"34875",128
"33125",128
"30020",128
"182000",128
"133500",128
"113900",128
"113800",128
"103900",128
"101254",128
"82345",127
"79222",127
"67111",127
"610",127
"608",127
"59950",127
"568",127
"55123",127
"51250",127
"40040",127
"37145",127
"36111",127
"34225",127
"30050",127
"123200",127
"121200",127
"113600",127
"98300",126
"76222",126
"66250",126
"66222",126
"64010",126
"62020",126
"609",126
"596",126
"569",126
"565",126
"56145",126
"56125",126
"5600",126
"54254",126
"50320",126
"44780",126
"44120",126
"43210",126
"39850",126
"36555",126
"34210",126
"30255",126
"29129",126
"16258",126
"15550",126
"15333",126
"127200",126
"125200",126
"123100",126
"116400",126
"112700",126
"10250",126
"77250",125
"77010",125
"76520",125
"69555",125
"625",125
"622",125
"574",125
"55120",125
"52121",125
"50950",125
"43456",125
"38520",125
"36254",125
"30157",125
"2500",125
"21333",125
"19995",125
"178000",125
"17010",125
"14750",125
"14233",125
"114700",125
"114600",125
"112600",125
"111600",125
"110100",125
"108100",125
"107700",125
"107400",125
"91250",124
"85123",124
"80555",124
"74111",124
"70123",124
"68222",124
"6600",124
"65440",124
"64450",124
"640",124
"63520",124
"589",124
"587",124
"58120",124
"55222",124
"55055",124
"54333",124
"542",124
"537",124
"52360",124
"52250",124
"50214",124
"43258",124
"41470",124
"41440",124
"40150",124
"39958",124
"37650",124
"36777",124
"36395",124
"35780",124
"34321",124
"33170",124
"27850",124
"26750",124
"21005",124
"20650",124
"19654",124
"189000",124
"183000",124
"181000",124
"17650",124
"148500",124
"142500",124
"12950",124
"122300",124
"117900",124
"112800",124
"107900",124
"68750",123
"67067",123
"66850",123
"65450",123
"6300",123
"60333",123
"58111",123
"5800",123
"558",123
"554",123
"553",123
"54250",123
"53225",123
"52123",123
"52010",123
"51236",123
"51010",123
"50145",123
"50122",123
"48555",123
"48520",123
"47870",123
"46010",123
"45560",123
"44666",123
"43950",123
"43212",123
"42450",123
"40280",123
"39860",123
"39654",123
"38121",123
"37750",123
"36211",123
"35212",123
"34021",123
"31250",123
"31240",123
"25125",123
"24123",123
"19250",123
"18555",123
"17444",123
"17222",123
"139500",123
"13330",123
"129300",123
"122100",123
"107800",123
"107600",123
"104700",123
"101700",123
"91450",122
"77145",122
"73521",122
"68550",122
"66125",122
"63250",122
"62250",122
"601",122
"58123",122
"56555",122
"54210",122
"54120",122
"53650",122
"49750",122
"49450",122
"48870",122
"48123",122
"46251",122
"46125",122
"45150",122
"44150",122
"43254",122
"43251",122
"43211",122
"42240",122
"42225",122
"41650",122
"41450",122
"38111",122
"37450",122
"37123",122
"36521",122
"36123",122
"35888",122
"35750",122
"34234",122
"30258",122
"30177",122
"30111",122
"24321",122
"24080",122
"23111",122
"21010",122
"19010",122
"149500",122
"135500",122
"13350",122
"131500",122
"127900",122
"123700",122
"12010",122
"115300",122
"112400",122
"110900",122
"90123",121
"86123",121
"75557",121
"75444",121
"71234",121
"66790",121
"65020",121
"64555",121
"64521",121
"637",121
"63456",121
"606",121
"60321",121
"60111",121
"57888",121
"56250",121
"55124",121
"53330",121
"52144",121
"50210",121
"45511",121
"45333",121
"45211",121
"45010",121
"44414",121
"44250",121
"44210",121
"44190",121
"43125",121
"42155",121
"41255",121
"38650",121
"33456",121
"33020",121
"32020",121
"29345",121
"28654",121
"26456",121
"22145",121
"20295",121
"19820",121
"15040",121
"14255",121
"13123",121
"88120",120
"78555",120
"74250",120
"70125",120
"69520",120
"63123",120
"62321",120
"59999",120
"59620",120
"58750",120
"579",120
"572",120
"53560",120
"53212",120
"53021",120
"52850",120
"52460",120
"52229",120
"51890",120
"50034",120
"47210",120
"47010",120
"46250",120
"45145",120
"44888",120
"44425",120
"44321",120
"42750",120
"42555",120
"42222",120
"41140",120
"40215",120
"40025",120
"39460",120
"39121",120
"34888",120
"33651",120
"33640",120
"30450",120
"29250",120
"29111",120
"28555",120
"26321",120
"26145",120
"26010",120
"19650",120
"18765",120
"15560",120
"15145",120
"130500",120
"124400",120
"118800",120
"108222",120
"9850",119
"81450",119
"74125",119
"69250",119
"67730",119
"63125",119
"612",119
"61010",119
"60258",119
"59995",119
"59650",119
"57860",119
"573",119
"57123",119
"57012",119
"56850",119
"55960",119
"552",119
"55125",119
"54655",119
"53960",119
"53466",119
"529",119
"48777",119
"48048",119
"45451",119
"45445",119
"45045",119
"44125",119
"42560",119
"42345",119
"42250",119
"42156",119
"41475",119
"38555",119
"36780",119
"36402",119
"34850",119
"34556",119
"33255",119
"31750",119
"31256",119
"29025",119
"28444",119
"28010",119
"24222",119
"23450",119
"19997",119
"15210",119
"14460",119
"125100",119
"123400",119
"110600",119
"1100",119
"76850",118
"73120",118
"71256",118
"67520",118
"65123",118
"64681",118
"63255",118
"60120",118
"60080",118
"59998",118
"59555",118
"57890",118
"56305",118
"56212",118
"55650",118
"54240",118
"5400",118
"51245",118
"51211",118
"50124",118
"49852",118
"49445",118
"48950",118
"48650",118
"48280",118
"46870",118
"46789",118
"46550",118
"46350",118
"44251",118
"44140",118
"43215",118
"40682",118
"40001",118
"39995",118
"38412",118
"38125",118
"38045",118
"37125",118
"36420",118
"36370",118
"36240",118
"35432",118
"34450",118
"33555",118
"31258",118
"30750",118
