"gal_perday","Count"
"2.62",18967
"0.23",18707
"2.63",18593
"2.65",18501
"2.66",18446
"2.64",18443
"0.22",18180
"2.67",17991
"0.21",17931
"2.68",17760
"2.69",17648
"0.20",17618
"2.70",17377
"2.71",17351
"2.72",17265
"2.73",17220
"0.19",17052
"2.74",16731
"2.75",16661
"2.76",16568
"0.18",16441
"2.77",16430
"2.78",16348
"2.79",16222
"0.17",16133
"2.80",16104
"2.81",15980
"2.82",15736
"0.16",15671
"2.83",15514
"2.85",15425
"2.84",15270
"2.86",15265
"0.15",15157
"2.87",15061
"0.14",14900
"2.88",14845
"2.89",14789
"2.90",14751
"2.92",14462
"2.91",14428
"0.13",14255
"2.94",14210
"2.93",14136
"2.95",13949
"0.12",13834
"2.97",13706
"2.98",13646
"2.96",13633
"2.99",13527
"3.00",13397
"3.01",13276
"3.02",13080
"0.11",12990
"3.04",12875
"3.03",12825
"3.06",12739
"3.05",12737
"3.07",12604
"0.10",12509
"3.08",12375
"3.09",12264
"3.10",12134
"0.09",12120
"3.11",11937
"3.12",11837
"3.13",11772
"3.15",11423
"0.08",11348
"3.16",11339
"3.14",11245
"3.17",11223
"3.18",11209
"3.19",11064
"3.20",11010
"0.07",10910
"3.22",10739
"3.21",10719
"3.23",10526
"0.06",10381
"3.24",10343
"3.26",10335
"3.25",10302
"3.27",10227
"3.28",10145
"3.29",9873
"3.30",9856
"0.05",9722
"3.31",9668
"3.32",9564
"3.33",9541
"3.34",9497
"3.35",9484
"3.36",9427
"3.37",9218
"3.38",9191
"3.39",9065
"3.41",8961
"3.40",8961
"3.42",8887
"3.43",8773
"3.45",8709
"0.04",8652
"3.44",8621
"3.46",8502
"3.47",8422
"3.48",8307
"3.49",8211
"3.50",8172
"3.52",8022
"0.03",8015
"3.51",7982
"3.53",7891
"3.55",7834
"3.54",7740
"3.56",7728
"3.58",7642
"3.59",7559
"3.57",7458
"3.60",7438
"0.02",7378
"3.61",7247
"3.62",7197
"3.63",7184
"3.64",7086
"3.66",7008
"3.65",7001
"3.67",6913
"0.01",6864
"3.70",6814
"3.68",6699
"3.69",6671
"3.71",6604
"3.72",6488
"3.74",6447
"3.73",6413
"3.79",6288
"3.77",6271
"3.80",6214
"3.75",6188
"3.78",6112
"3.76",6104
"3.81",5929
"3.85",5927
"3.84",5924
"3.83",5913
"3.82",5764
"3.87",5663
"3.86",5604
"3.88",5588
"3.90",5569
"3.89",5485
"3.92",5453
"3.91",5439
"3.93",5358
"3.95",5294
"3.94",5256
"3.96",5164
"3.97",5159
"3.98",5141
"3.99",5075
"4.00",5014
"4.02",4975
"4.01",4932
"4.05",4818
"4.06",4779
"4.04",4759
"4.08",4745
"4.07",4713
"4.03",4694
"4.10",4659
"4.11",4537
"4.09",4497
"4.12",4433
"4.14",4408
"4.13",4383
"4.15",4238
"4.16",4237
"4.18",4235
"4.17",4185
"4.20",4167
"4.19",4086
"4.23",4062
"4.24",4028
"4.21",4016
"4.22",4015
"4.26",3920
"4.25",3868
"4.31",3854
"4.29",3821
"4.27",3770
"4.28",3752
"4.30",3745
"4.32",3621
"4.33",3584
"4.36",3579
"4.37",3575
"4.39",3532
"4.38",3531
"4.34",3518
"4.35",3516
"4.41",3482
"4.42",3466
"4.43",3342
"4.40",3341
"4.45",3313
"4.44",3300
"4.46",3286
"4.47",3214
"4.49",3194
"4.48",3173
"4.50",3116
"4.51",3067
"4.53",3043
"4.54",2970
"4.55",2949
"4.59",2935
"4.56",2915
"4.61",2900
"4.57",2899
"4.52",2896
"4.63",2851
"4.58",2823
"4.62",2796
"4.64",2792
"4.60",2769
"4.67",2723
"4.65",2695
"4.66",2683
"4.72",2613
"4.73",2586
"4.71",2557
"4.68",2554
"4.69",2553
"4.76",2551
"4.70",2548
"4.79",2474
"4.74",2472
"4.75",2419
"4.77",2408
"4.80",2395
"4.78",2371
"4.82",2370
"4.83",2353
"4.84",2314
"4.81",2302
"4.89",2274
"4.86",2269
"4.85",2236
"4.87",2211
"4.88",2198
"4.90",2197
"4.91",2192
"4.92",2164
"4.93",2128
"4.96",2119
"4.95",2103
"4.98",2065
"4.94",2060
"5.00",2026
"5.05",2016
"4.97",2010
"5.01",2005
"4.99",1977
"5.02",1946
"5.03",1936
"5.09",1933
"5.04",1912
"5.07",1911
"5.10",1905
"5.08",1832
"5.06",1826
"5.11",1825
"5.12",1787
"5.15",1779
"5.18",1773
"5.16",1773
"5.14",1769
"5.13",1757
"5.19",1742
"5.22",1731
"5.17",1705
"5.21",1703
"5.20",1702
"5.23",1670
"5.26",1650
"5.27",1647
"5.28",1641
"5.25",1636
"5.30",1614
"5.29",1594
"5.35",1585
"5.32",1580
"5.33",1556
"5.24",1547
"5.38",1485
"5.37",1485
"5.31",1485
"5.43",1484
"5.39",1484
"5.34",1470
"5.36",1462
"5.40",1443
"5.41",1436
"5.45",1426
"5.42",1409
"5.47",1398
"5.44",1398
"5.54",1397
"5.48",1387
"5.49",1382
"5.50",1368
"5.46",1363
"5.58",1348
"5.52",1345
"5.51",1323
"5.62",1303
"5.56",1303
"5.60",1287
"5.57",1264
"5.53",1262
"5.67",1257
"5.59",1251
"5.65",1232
"5.66",1216
"5.63",1215
"5.69",1210
"5.68",1209
"5.61",1209
"5.71",1208
"5.64",1203
"5.73",1191
"5.70",1159
"5.55",1144
"5.77",1133
"5.76",1112
"5.74",1109
"5.79",1104
"5.72",1103
"5.83",1101
"5.86",1082
"5.75",1079
"5.81",1076
"5.90",1064
"5.85",1063
"5.87",1060
"5.80",1059
"5.78",1025
"5.88",1021
"5.89",1017
"5.82",1011
"5.84",1009
"5.92",1008
"5.93",994
"5.98",991
"5.97",968
"5.95",963
"5.91",958
"6.04",954
"5.96",939
"6.01",937
"6.05",934
"6.00",931
"6.03",930
"5.99",922
"6.09",920
"5.94",914
"6.02",907
"6.07",904
"6.08",897
"6.15",895
"6.12",893
"6.10",872
"6.19",868
"6.06",856
"6.11",844
"6.14",843
"6.13",833
"6.28",829
"6.23",829
"6.20",823
"6.17",819
"6.16",816
"6.22",815
"6.29",809
"6.21",802
"6.18",802
"6.25",797
"6.26",796
"6.31",788
"6.34",783
"6.35",772
"6.27",772
"6.33",762
"6.39",750
"6.41",747
"6.30",746
"6.44",740
"6.37",737
"6.38",733
"6.32",730
"6.49",728
"6.47",727
"6.24",724
"6.54",720
"6.42",707
"6.48",704
"6.50",698
"6.40",695
"6.43",694
"6.56",693
"6.45",688
"6.46",687
"6.36",680
"6.59",673
"6.51",672
"6.80",665
"6.60",662
"6.52",662
"6.53",658
"6.61",657
"6.57",654
"6.62",651
"6.66",645
"6.79",641
"6.63",640
"6.55",637
"6.64",636
"6.72",635
"6.67",634
"6.70",631
"6.75",621
"6.73",621
"6.58",614
"6.69",610
"6.65",610
"6.68",607
"6.81",604
"6.84",593
"6.95",587
"6.71",585
"6.74",583
"6.85",579
"6.78",571
"6.99",565
"6.83",565
"6.94",563
"6.87",561
"6.77",554
"6.96",553
"6.90",551
"6.76",551
"6.93",543
"6.92",540
"6.89",537
"6.88",537
"6.82",537
"6.97",536
"6.98",535
"6.91",535
"7.22",533
"7.14",532
"7.00",529
"7.11",528
"7.01",527
"7.13",526
"6.86",522
"7.02",516
"7.08",509
"7.06",508
"7.05",506
"7.21",502
"7.17",499
"7.12",497
"7.18",495
"7.15",493
"7.04",493
"7.16",489
"7.09",489
"7.23",488
"7.07",487
"7.10",484
"7.03",480
"7.26",479
"7.50",470
"7.31",470
"7.25",469
"7.20",468
"7.19",468
"7.43",465
"7.28",465
"7.32",459
"7.24",459
"7.37",455
"7.27",454
"7.52",450
"7.34",450
"7.33",450
"7.30",448
"7.42",445
"7.40",440
"7.35",438
"7.39",437
"7.41",435
"7.46",432
"7.55",431
"7.51",430
"7.47",430
"7.29",428
"7.48",427
"7.65",423
"7.38",421
"7.69",418
"7.54",415
"7.72",414
"7.49",413
"7.57",410
"7.62",409
"7.60",408
"7.53",405
"7.58",403
"7.36",401
"7.61",396
"7.77",395
"7.44",392
"7.59",390
"7.88",386
"7.78",386
"7.45",386
"7.83",385
"7.66",385
"7.64",384
"7.84",378
"7.71",378
"7.86",375
"7.79",375
"7.56",372
"8.01",371
"7.85",371
"7.75",371
"7.87",370
"7.67",370
"7.76",366
"7.68",365
"7.63",365
"7.73",362
"7.70",362
"7.81",359
"7.93",357
"8.24",348
"7.98",347
"7.94",346
"7.89",346
"7.96",345
"7.95",344
"7.80",343
"7.91",342
"8.07",341
"7.97",341
"8.15",339
"8.14",339
"8.11",338
"7.74",336
"8.35",334
"7.99",333
"8.02",332
"7.92",332
"7.90",332
"8.34",331
"8.19",328
"8.10",327
"8.13",324
"8.08",324
"8.25",323
"8.06",322
"8.03",321
"8.09",319
"7.82",317
"8.38",316
"8.12",315
"8.49",314
"8.16",312
"8.42",311
"8.17",310
"8.04",310
"8.21",309
"8.33",308
"8.30",308
"8.29",308
"8.26",306
"8.00",306
"8.22",304
"8.31",302
"8.36",301
"8.43",296
"8.32",294
"8.28",294
"8.18",294
"8.57",292
"8.05",292
"8.37",291
"8.50",290
"8.23",290
"8.27",289
"8.79",287
"8.52",287
"8.63",286
"8.55",286
"8.54",286
"8.69",285
"8.58",285
"8.48",285
"8.39",285
"8.51",283
"8.87",281
"8.44",281
"8.40",281
"9.16",280
"8.46",280
"8.41",280
"8.61",277
"8.20",277
"8.59",276
"8.56",275
"8.88",274
"8.53",274
"8.78",273
"8.71",268
"9.00",266
"8.83",266
"8.60",266
"8.68",264
"8.45",264
"8.72",262
"8.47",261
"8.86",260
"8.67",258
"8.65",258
"8.62",258
"8.85",257
"9.15",255
"8.99",255
"8.96",255
"8.75",255
"8.74",255
"8.70",255
"9.22",253
"9.08",252
"8.92",252
"8.77",252
"9.03",250
"8.76",250
"8.73",249
"8.64",249
"9.07",248
"9.23",246
"8.93",245
"8.89",244
"9.37",242
"8.90",242
"8.82",241
"9.32",240
"9.05",240
"8.95",240
"8.84",239
"8.81",239
"9.39",236
"9.02",236
"8.66",235
"8.97",234
"8.94",234
"8.91",234
"8.80",234
"9.44",233
"9.31",233
"9.24",233
"9.10",233
"9.06",233
"9.13",232
"9.50",231
"8.98",231
"9.17",230
"9.09",230
"9.49",228
"9.45",228
"9.28",228
"9.11",228
"9.01",228
"9.40",227
"9.20",227
"9.42",226
"9.43",225
"9.41",223
"9.27",223
"9.65",222
"9.46",222
"9.19",222
"9.18",222
"9.04",222
"9.30",221
"9.25",220
"9.29",219
"9.12",219
"9.59",218
"9.34",217
"9.52",216
"9.36",215
"9.54",213
"9.99",212
"9.55",212
"9.48",212
"9.21",212
"9.69",211
"9.26",211
"9.66",209
"9.67",207
"9.57",207
"9.33",206
"9.14",205
"9.92",204
"9.76",204
"9.70",204
"9.88",203
"9.87",203
"10.08",203
"9.97",201
"10.12",201
"10.02",201
"9.80",200
"9.68",200
"9.61",200
"10.26",200
"10.13",200
"10.04",200
"9.64",199
"9.89",198
"9.58",198
"9.47",198
"9.83",197
"9.82",196
"9.63",196
"9.60",196
"9.51",196
"9.35",196
"9.79",195
"9.78",195
"9.53",195
"9.71",194
"9.38",194
"10.30",194
"9.95",193
"9.86",193
"10.33",193
"10.03",192
"9.84",190
"9.75",190
"9.72",190
"9.96",189
"9.93",189
"10.20",189
"10.16",189
"10.09",189
"9.85",188
"10.40",188
"9.73",187
"9.62",187
"9.98",186
"9.74",186
"10.65",186
"10.21",186
"10.17",185
"10.14",184
"10.00",184
"10.18",183
"10.10",183
"9.94",181
"9.91",181
"9.77",180
"10.59",180
"10.35",180
"11.21",179
"10.44",179
"10.06",179
"10.01",179
"10.27",178
"9.81",176
"10.32",176
"10.43",175
"10.63",174
"10.41",174
"10.25",174
"10.50",173
"10.45",172
"10.39",172
"10.34",172
"10.76",171
"10.38",171
"10.24",171
"10.23",171
"9.56",170
"11.05",170
"10.51",170
"10.61",169
"11.06",168
"11.00",168
"10.90",168
"10.15",167
"10.05",167
"9.90",166
"11.03",166
"10.22",166
"10.68",165
"10.66",165
"10.49",165
"11.32",164
"10.77",164
"10.73",164
"10.67",164
"10.31",164
"10.60",163
"10.42",163
"10.28",163
"10.19",163
"10.82",162
"11.17",161
"10.53",161
"10.98",160
"10.64",160
"10.46",160
"10.84",159
"10.83",159
"10.62",159
"10.57",159
"10.48",159
"10.36",159
"10.11",159
"11.41",158
"10.87",158
"10.55",158
"10.47",158
"11.27",157
"11.12",157
"10.94",157
"10.86",157
"10.80",157
"10.54",157
"10.37",157
"11.10",156
"11.02",156
"11.16",155
"10.75",155
"10.07",155
"11.25",154
"11.07",154
"10.99",154
"11.14",153
"10.79",153
"10.72",153
"11.01",152
"10.81",152
"11.51",151
"10.89",151
"10.95",150
"10.78",150
"11.44",148
"11.43",147
"11.36",147
"11.13",147
"10.93",147
"11.59",146
"11.08",146
"10.29",146
"10.74",145
"11.89",144
"11.47",144
"11.24",144
"11.52",143
"10.92",143
"11.58",142
"11.37",142
"11.28",142
"10.58",142
"11.64",141
"11.26",141
"10.56",141
"11.75",140
"11.42",140
"11.33",140
"11.29",140
"10.52",140
"11.82",139
"11.53",139
"10.71",139
"11.76",138
"11.70",138
"11.63",138
"11.54",138
"11.46",138
"11.23",138
"11.18",138
"11.84",137
"11.83",137
"11.31",137
"10.97",137
"10.69",137
"11.66",136
"11.35",136
"10.91",136
"12.53",135
"12.09",135
"11.91",135
"11.19",135
"12.66",134
"12.00",134
"11.45",134
"11.39",134
"11.61",133
"11.38",133
"11.20",133
"11.55",132
"11.48",132
"12.15",131
"11.96",131
"11.86",131
"11.79",131
"10.88",131
"10.70",131
"11.60",130
"11.11",130
"10.96",130
"11.81",129
"11.62",129
"12.08",128
"11.78",128
"11.72",128
"11.50",128
"11.09",128
"10.85",128
"12.41",127
"12.24",127
"11.22",127
"12.40",126
"11.73",126
"11.56",126
"11.15",126
"12.99",125
"12.17",125
"11.99",125
"11.67",125
"12.20",124
"11.80",124
"12.65",123
"12.64",123
"12.47",123
"12.28",123
"11.93",123
"11.88",123
"11.49",123
"12.77",122
"12.29",122
"12.18",122
"12.01",122
"11.97",122
"11.85",122
"11.74",122
"11.71",122
"12.45",121
"12.02",121
"11.34",121
"11.30",121
"12.61",120
"12.43",120
"12.31",120
"12.12",120
"12.04",120
"11.87",120
"11.68",120
"12.76",119
"11.04",119
"12.33",118
"12.27",118
"12.11",118
"12.05",118
"11.69",118
"12.86",117
"12.37",117
"12.26",117
"11.92",117
"13.54",116
"12.46",116
"12.23",116
"11.57",116
"12.81",115
"11.94",115
"12.59",114
"12.55",114
"12.49",114
"12.35",114
"12.19",114
"12.14",114
"11.95",114
"12.80",113
"12.48",113
"12.38",113
"12.10",113
"12.82",112
"12.79",112
"13.52",111
"13.24",111
"12.21",111
"12.03",111
"13.02",110
"12.70",110
"12.67",110
"12.56",110
"11.98",110
"11.65",110
"13.36",109
"13.14",109
"12.34",109
"12.32",109
"12.06",109
"11.77",109
"13.82",108
"13.01",108
"12.92",108
"12.83",108
"12.44",108
"12.13",108
"13.28",107
"12.58",107
"12.36",107
"13.87",106
"13.81",106
"13.15",106
"13.10",106
"12.85",106
"12.63",106
"12.62",106
"12.57",106
"11.40",106
"13.48",105
"13.44",105
"12.94",105
"12.93",105
"12.91",105
"12.84",105
"12.22",105
"12.16",105
"13.60",104
"13.04",104
"12.60",104
"11.90",104
"13.50",103
"13.46",103
"13.30",103
"13.22",103
"12.98",103
"12.25",103
"13.19",102
"13.05",102
"12.68",102
"12.52",102
"14.65",101
"12.71",101
"12.07",101
"14.07",100
"13.88",100
"13.77",100
"13.55",100
"12.95",100
"12.78",100
"14.27",99
"14.20",99
"13.73",99
"13.42",99
"13.33",99
"13.31",99
"13.06",99
"12.97",99
"12.74",99
"12.54",99
"12.30",99
"13.92",98
"13.76",98
"13.63",98
"12.87",98
"12.73",98
"12.42",98
"14.10",97
"13.97",97
"13.49",97
"13.39",97
"13.11",97
"12.51",97
"14.53",96
"14.41",96
"14.02",96
"13.95",96
"13.91",96
"13.03",96
"14.58",95
"13.75",95
"13.43",95
"13.32",95
"12.50",95
"14.44",94
"14.36",94
"14.05",94
"13.53",94
"13.12",94
"13.80",93
"13.69",93
"13.61",93
"13.26",93
"13.17",93
"13.07",93
"12.75",93
"13.68",92
"13.41",92
"13.29",92
"12.90",92
"14.39",91
"14.32",91
"14.28",91
"14.22",91
"14.12",91
"13.70",91
"13.56",91
"13.40",91
"14.35",90
"14.17",90
"13.94",90
"13.89",90
"13.83",90
"13.72",90
"13.58",90
"13.23",90
"13.08",90
"12.88",90
"12.72",90
"14.62",89
"14.59",89
"14.29",89
"14.21",89
"14.03",89
"13.34",89
"13.25",89
"13.16",89
"14.04",88
"13.85",88
"13.45",88
"12.96",88
"14.69",87
"14.31",87
"14.30",87
"13.96",87
"13.90",87
"13.66",87
"13.65",87
"13.47",87
"15.57",86
"14.74",86
"14.25",86
"14.11",86
"13.78",86
"13.62",86
"13.59",86
"13.37",86
"12.39",86
"14.83",85
"14.82",85
"14.60",85
"14.43",85
"14.19",85
"13.27",85
"13.21",85
"15.31",84
"15.27",84
"15.24",84
"15.23",84
"15.09",84
"15.08",84
"14.64",84
"13.74",84
"13.00",84
"12.89",84
"12.69",84
"14.75",83
"14.63",83
"14.18",83
"14.13",83
"13.86",83
"13.64",83
"13.13",83
"15.91",82
"15.01",82
"14.89",82
"14.81",82
"14.79",82
"14.67",82
"14.61",82
"14.51",82
"14.08",82
"14.00",82
"13.67",82
"13.18",82
"13.09",82
"15.51",81
"15.16",81
"14.90",81
"14.80",81
"14.76",81
"14.71",81
"14.57",81
"14.49",81
"14.47",81
"14.34",81
"14.06",81
"14.01",81
"13.38",81
"15.25",80
"14.93",80
"14.42",80
"14.40",80
"14.38",80
"14.37",80
"14.16",80
"13.84",80
"13.71",80
"13.57",80
"13.20",80
"15.75",79
"15.61",79
"15.29",79
"14.97",79
"14.94",79
"14.46",79
"14.24",79
"14.23",79
"14.15",79
"14.14",79
"13.35",79
"15.50",78
"15.95",77
"15.68",77
"15.44",77
"15.06",77
"14.87",77
"16.87",76
"16.00",76
"15.98",76
"15.69",76
"15.12",76
"15.11",76
"15.02",76
"15.00",76
"14.96",76
"14.66",76
"14.09",76
"15.88",75
"15.78",75
"14.78",75
"13.51",75
"16.33",74
"15.93",74
"15.38",74
"15.04",74
"14.84",74
"14.70",74
"14.50",74
"14.45",74
"15.70",73
"15.36",73
"15.19",73
"14.92",73
"14.91",73
"14.86",73
"14.77",73
"14.56",73
"17.07",72
"16.86",72
"16.52",72
"16.10",72
"16.04",72
"15.85",72
"15.81",72
"15.22",72
"17.56",71
"16.19",71
"15.82",71
"15.35",71
"15.33",71
"15.07",71
"14.68",71
"14.48",71
"14.33",71
"13.79",71
"16.11",70
"15.99",70
"15.48",70
"15.42",70
"15.30",70
"14.73",70
"14.55",70
"18.41",69
"16.45",69
"16.40",69
"16.05",69
"15.92",69
"15.84",69
"15.39",69
"15.20",69
"15.17",69
"14.88",69
"14.54",69
"14.52",69
"13.98",69
"13.93",69
"17.14",68
"17.13",68
"16.59",68
"16.15",68
"15.63",68
"15.58",68
"15.46",68
"15.21",68
"15.18",68
"14.85",68
"17.78",67
"16.60",67
"16.41",67
"16.39",67
"16.18",67
"15.97",67
"15.72",67
"15.66",67
"15.53",67
"15.26",67
"13.99",67
"16.56",66
"16.29",66
"15.80",66
"15.43",66
"15.05",66
"14.98",66
"17.20",65
"16.65",65
"16.20",65
"16.03",65
"15.94",65
"15.65",65
"15.64",65
"15.45",65
"15.41",65
"15.28",65
"14.95",65
"14.26",65
"16.99",64
"16.58",64
"16.53",64
"15.96",64
"15.59",64
"15.37",64
"15.14",64
"14.99",64
"14.72",64
"18.03",63
"17.44",63
"16.98",63
"16.72",63
"16.36",63
"16.30",63
"16.12",63
"16.09",63
"16.02",63
"15.73",63
"15.55",63
"15.47",63
"15.40",63
"15.03",63
"17.30",62
"17.29",62
"17.06",62
"16.78",62
"16.67",62
"16.48",62
"16.35",62
"16.24",62
"16.01",62
"15.90",62
"15.86",62
"15.79",62
"15.13",62
"17.81",61
"17.54",61
"17.27",61
"17.19",61
"17.04",61
"16.75",61
"16.74",61
"16.71",61
"16.61",61
"16.46",61
"16.42",61
"16.16",61
"16.07",61
"15.76",61
"15.54",61
"18.92",60
"18.17",60
"17.98",60
"17.88",60
"17.83",60
"17.05",60
"17.00",60
"16.96",60
"16.89",60
"16.88",60
"16.83",60
"16.73",60
"16.62",60
"16.43",60
"16.25",60
"15.83",60
"18.96",59
"18.83",59
"18.67",59
"18.23",59
"17.52",59
"17.47",59
"17.41",59
"17.38",59
"16.90",59
"16.68",59
"16.26",59
"15.89",59
"15.87",59
"15.74",59
"15.67",59
"15.56",59
"15.32",59
"18.84",58
"18.27",58
"17.99",58
"17.96",58
"17.36",58
"17.21",58
"16.85",58
"16.84",58
"16.64",58
"16.44",58
"16.38",58
"16.37",58
"16.13",58
"16.06",58
"18.62",57
"18.58",57
"17.79",57
"17.17",57
"16.76",57
"16.70",57
"16.55",57
"16.54",57
"16.34",57
"16.22",57
"16.08",57
"15.15",57
"18.04",56
"18.02",56
"17.94",56
"17.86",56
"17.74",56
"17.51",56
"17.32",56
"17.15",56
"16.93",56
"16.81",56
"16.50",56
"15.60",56
"15.49",56
"15.10",56
"18.36",55
"18.32",55
"18.16",55
"18.12",55
"17.90",55
"17.65",55
"17.63",55
"17.39",55
"17.28",55
"17.24",55
"17.23",55
"16.91",55
"16.80",55
"16.49",55
"16.27",55
"15.52",55
"19.83",54
"19.45",54
"18.76",54
"17.92",54
"17.71",54
"17.64",54
"17.60",54
"17.43",54
"17.37",54
"17.10",54
"16.92",54
"16.77",54
"16.14",54
"15.77",54
"15.34",54
"18.51",53
"18.25",53
"18.06",53
"18.05",53
"17.97",53
"17.89",53
"17.80",53
"17.46",53
"17.35",53
"17.09",53
"16.95",53
"16.21",53
"16.17",53
"20.00",52
"19.70",52
"18.82",52
"18.38",52
"18.28",52
"18.14",52
"18.11",52
"17.70",52
"17.61",52
"17.49",52
"17.02",52
"16.94",52
"16.66",52
"16.63",52
"16.28",52
"15.71",52
"20.12",51
"19.30",51
"19.23",51
"19.05",51
"18.91",51
"18.72",51
"18.42",51
"18.07",51
"17.95",51
"17.59",51
"17.16",51
"17.03",51
"16.32",51
"16.23",51
"20.94",50
"18.81",50
"18.48",50
"18.46",50
"18.44",50
"18.35",50
"16.69",50
"20.33",49
"19.65",49
"19.08",49
"18.80",49
"18.77",49
"18.66",49
"18.54",49
"17.84",49
"17.57",49
"17.45",49
"17.42",49
"17.12",49
"17.11",49
"17.08",49
"16.82",49
"16.31",49
"15.62",49
"20.96",48
"20.59",48
"20.16",48
"20.01",48
"19.86",48
"19.76",48
"19.49",48
"19.43",48
"19.20",48
"19.19",48
"18.73",48
"18.19",48
"18.01",48
"18.00",48
"17.82",48
"17.77",48
"17.40",48
"17.34",48
"19.36",47
"19.31",47
"19.26",47
"19.09",47
"18.98",47
"18.74",47
"18.64",47
"18.49",47
"18.43",47
"18.20",47
"18.13",47
"17.62",47
"17.26",47
"17.18",47
"16.97",47
"16.57",47
"22.45",46
"20.83",46
"20.61",46
"20.39",46
"20.34",46
"20.26",46
"20.11",46
"20.10",46
"19.98",46
"19.90",46
"19.69",46
"19.66",46
"19.53",46
"19.50",46
"19.27",46
"18.94",46
"18.15",46
"17.75",46
"17.66",46
"17.58",46
"17.55",46
"17.22",46
"22.03",45
"21.51",45
"19.97",45
"19.54",45
"19.48",45
"19.39",45
"18.93",45
"18.88",45
"18.79",45
"18.70",45
"18.61",45
"18.57",45
"18.29",45
"18.24",45
"18.09",45
"17.68",45
"17.33",45
"17.31",45
"16.79",45
"16.47",45
"22.82",44
"20.90",44
"20.88",44
"20.64",44
"20.56",44
"20.51",44
"20.45",44
"20.38",44
"19.59",44
"19.37",44
"19.35",44
"19.24",44
"19.22",44
"18.99",44
"18.75",44
"18.71",44
