"comm_zip","Count"
"0.1763",104
"0.1357",104
"0.1282",104
"0.1149",104
"0.1144",104
"0.0773",104
"0.0507",104
"0.8000",103
"0.6202",103
"0.5385",103
"0.5082",103
"0.2847",103
"0.2474",103
"0.1852",103
"0.1629",103
"0.1594",103
"0.1409",103
"0.1334",103
"0.1290",103
"0.1225",103
"0.1114",103
"0.1096",103
"0.0500",103
"0.0491",103
"0.0330",103
"0.0317",103
"0.0108",103
"0.0102",103
"0.0086",103
"1.7500",102
"0.2716",102
"0.2712",102
"0.2380",102
"0.2284",102
"0.2240",102
"0.2155",102
"0.1758",102
"0.1360",102
"0.1164",102
"0.1118",102
"0.0764",102
"0.0690",102
"0.0504",102
"0.0488",102
"0.0396",102
"0.0320",102
"0.5952",101
"0.2514",101
"0.2472",101
"0.2460",101
"0.2375",101
"0.2142",101
"0.2109",101
"0.1929",101
"0.1652",101
"0.1463",101
"0.0788",101
"0.0160",101
"0.0135",101
"0.0061",101
"3.0000",100
"0.9999",100
"0.4830",100
"0.4706",100
"0.4350",100
"0.3574",100
"0.3039",100
"0.2602",100
"0.2402",100
"0.2367",100
"0.2353",100
"0.2086",100
"0.1778",100
"0.1482",100
"0.1066",100
"0.0056",100
"0.4016",99
"0.3342",99
"0.2636",99
"0.2164",99
"0.0966",99
"0.0688",99
"0.0615",99
"0.0136",99
"0.0044",99
"0.0015",99
"0.6132",98
"0.4602",98
"0.3020",98
"0.2807",98
"0.2216",98
"0.2193",98
"0.1903",98
"0.1858",98
"0.1706",98
"0.1542",98
"0.1298",98
"0.1132",98
"0.0594",98
"0.0100",98
"0.0068",98
"0.5509",97
"0.3762",97
"0.3078",97
"0.2752",97
"0.2348",97
"0.2009",97
"0.2005",97
"0.1966",97
"0.1941",97
"0.1724",97
"0.1124",97
"0.0897",97
"0.0492",97
"0.0480",97
"0.0448",97
"0.0246",97
"0.0162",97
"1.3332",96
"0.3720",96
"0.2907",96
"0.2700",96
"0.2613",96
"0.2560",96
"0.2392",96
"0.1621",96
"0.1449",96
"0.1216",96
"0.1090",96
"0.0990",96
"0.0791",96
"0.0772",96
"0.0372",96
"0.0165",96
"1.2500",95
"0.6474",95
"0.6342",95
"0.4020",95
"0.3748",95
"0.3647",95
"0.3639",95
"0.3198",95
"0.2983",95
"0.2868",95
"0.2508",95
"0.2084",95
"0.2080",95
"0.1846",95
"0.1656",95
"0.1475",95
"0.1386",95
"0.1111",95
"0.0758",95
"0.0627",95
"0.0094",95
"0.5760",94
"0.5264",94
"0.4587",94
"0.3231",94
"0.2739",94
"0.2668",94
"0.1872",94
"0.1689",94
"0.1684",94
"0.1678",94
"0.1509",94
"0.1350",94
"0.1218",94
"0.1148",94
"0.1110",94
"0.0687",94
"0.0253",94
"0.0180",94
"0.0150",94
"0.6486",93
"0.6070",93
"0.6060",93
"0.5340",93
"0.3064",93
"0.2180",93
"0.1750",93
"0.1628",93
"0.0635",93
"0.0534",93
"0.0384",93
"0.0255",93
"0.0079",93
"0.6904",92
"0.6888",92
"0.4596",92
"0.2904",92
"0.2732",92
"0.2688",92
"0.2606",92
"0.2196",92
"0.2148",92
"0.2048",92
"0.1619",92
"0.1353",92
"0.0750",92
"0.0739",92
"0.0680",92
"0.0186",92
"0.0051",92
"0.5012",91
"0.3495",91
"0.3260",91
"0.3156",91
"0.2682",91
"0.2457",91
"0.2192",91
"0.2106",91
"0.2026",91
"0.0640",91
"0.9310",90
"0.6770",90
"0.5454",90
"0.4389",90
"0.4256",90
"0.4068",90
"0.3185",90
"0.2628",90
"0.2562",90
"0.2532",90
"0.2149",90
"0.1984",90
"0.1521",90
"0.1437",90
"0.1392",90
"0.1233",90
"0.0588",90
"0.0442",90
"0.0321",90
"0.0224",90
"0.0062",90
"0.7960",89
"0.6412",89
"0.6180",89
"0.4912",89
"0.4200",89
"0.3792",89
"0.3642",89
"0.3548",89
"0.3186",89
"0.2434",89
"0.2250",89
"0.1990",89
"0.1923",89
"0.1898",89
"0.1776",89
"0.1716",89
"0.1715",89
"0.1495",89
"0.1297",89
"0.0756",89
"0.0644",89
"0.0511",89
"0.0457",89
"0.0208",89
"0.0148",89
"0.4872",88
"0.3224",88
"0.3158",88
"0.2561",88
"0.1964",88
"0.1876",88
"0.1722",88
"0.1625",88
"0.1613",88
"0.1199",88
"0.0632",88
"0.0508",88
"0.6144",87
"0.3768",87
"0.3264",87
"0.3128",87
"0.2826",87
"0.2621",87
"0.2414",87
"0.1406",87
"0.1175",87
"0.1106",87
"0.1100",87
"0.1088",87
"0.1078",87
"0.1055",87
"0.0944",87
"0.0873",87
"0.0584",87
"0.0542",87
"0.0509",87
"0.0420",87
"0.0099",87
"0.4597",86
"0.4038",86
"0.3885",86
"0.3784",86
"0.3714",86
"0.3456",86
"0.3177",86
"0.2982",86
"0.2948",86
"0.2925",86
"0.2534",86
"0.2509",86
"0.2400",86
"0.2105",86
"0.2057",86
"0.1544",86
"0.1272",86
"0.0737",86
"0.0419",86
"0.5848",85
"0.4936",85
"0.4428",85
"0.4404",85
"0.3839",85
"0.2568",85
"0.2427",85
"0.1980",85
"0.1931",85
"0.1862",85
"0.1608",85
"0.1567",85
"0.1474",85
"0.0747",85
"0.0424",85
"0.0352",85
"0.0194",85
"0.0083",85
"2.4000",84
"1.5714",84
"0.9000",84
"0.4146",84
"0.3982",84
"0.3593",84
"0.2970",84
"0.2421",84
"0.2412",84
"0.2408",84
"0.2061",84
"0.2044",84
"0.1952",84
"0.1845",84
"0.1432",84
"0.1200",84
"0.0804",84
"0.0408",84
"0.0242",84
"0.0176",84
"0.8372",83
"0.5868",83
"0.5280",83
"0.4260",83
"0.3262",83
"0.3250",83
"0.2940",83
"0.2734",83
"0.2150",83
"0.1933",83
"0.1612",83
"0.1222",83
"0.1186",83
"0.1168",83
"0.1154",83
"0.0896",83
"0.0310",83
"0.0278",83
"0.0272",83
"0.0164",83
"0.0078",83
"0.8156",82
"0.6370",82
"0.4218",82
"0.3964",82
"0.3870",82
"0.3555",82
"0.3334",82
"0.2898",82
"0.2428",82
"0.1975",82
"0.1940",82
"0.1881",82
"0.1455",82
"0.1060",82
"0.0938",82
"0.0928",82
"0.0848",82
"0.0824",82
"0.0805",82
"0.7802",81
"0.5656",81
"0.4500",81
"0.4416",81
"0.3585",81
"0.3272",81
"0.2916",81
"0.2490",81
"0.1636",81
"0.1477",81
"0.1460",81
"0.1268",81
"0.1087",81
"0.1071",81
"0.1028",81
"0.0920",81
"0.0736",81
"0.0683",81
"0.0633",81
"0.0560",81
"0.8112",80
"0.7368",80
"0.6720",80
"0.5408",80
"0.4334",80
"0.3610",80
"0.3360",80
"0.2965",80
"0.2748",80
"0.2714",80
"0.2450",80
"0.2299",80
"0.2288",80
"0.2188",80
"0.2117",80
"0.2079",80
"0.1953",80
"0.1936",80
"0.1860",80
"0.1857",80
"0.1792",80
"0.1568",80
"0.1428",80
"0.1325",80
"0.0784",80
"0.0744",80
"0.0738",80
"0.0682",80
"0.0602",80
"0.0548",80
"0.0392",80
"0.5588",79
"0.4788",79
"0.4644",79
"0.4545",79
"0.4386",79
"0.3045",79
"0.3026",79
"0.2692",79
"0.2445",79
"0.2444",79
"0.2366",79
"0.2202",79
"0.2110",79
"0.1754",79
"0.1396",79
"0.1294",79
"0.1136",79
"0.0258",79
"0.7392",78
"0.6072",78
"0.4620",78
"0.4412",78
"0.4300",78
"0.3840",78
"0.3676",78
"0.2824",78
"0.2784",78
"0.2425",78
"0.2152",78
"0.2064",78
"0.1869",78
"0.1566",78
"0.1533",78
"0.1366",78
"0.1256",78
"0.1179",78
"0.1160",78
"0.1119",78
"0.1116",78
"0.1012",78
"0.0815",78
"0.0476",78
"0.0356",78
"0.0256",78
"0.0131",78
"0.0098",78
"0.0057",78
"1.0770",77
"0.6140",77
"0.5538",77
"0.4980",77
"0.3952",77
"0.3725",77
"0.3288",77
"0.3246",77
"0.3192",77
"0.2482",77
"0.2468",77
"0.2136",77
"0.1830",77
"0.1806",77
"0.1364",77
"0.1153",77
"0.0972",77
"0.0904",77
"0.0900",77
"0.0748",77
"0.0292",77
"0.0191",77
"0.0082",77
"0.9438",76
"0.8905",76
"0.5605",76
"0.5094",76
"0.4088",76
"0.3828",76
"0.3664",76
"0.3470",76
"0.3304",76
"0.3276",76
"0.3209",76
"0.2984",76
"0.2980",76
"0.2640",76
"0.2327",76
"0.2206",76
"0.2132",76
"0.2100",76
"0.1710",76
"0.1626",76
"0.1264",76
"0.1174",76
"0.0988",76
"0.0875",76
"0.0652",76
"0.0630",76
"0.0580",76
"1.8000",75
"0.7946",75
"0.7052",75
"0.4056",75
"0.3990",75
"0.3770",75
"0.3744",75
"0.3652",75
"0.3612",75
"0.3306",75
"0.3235",75
"0.3059",75
"0.2962",75
"0.2308",75
"0.2274",75
"0.2063",75
"0.1981",75
"0.1921",75
"0.1916",75
"0.1692",75
"0.1539",75
"0.1536",75
"0.1532",75
"0.1515",75
"0.1472",75
"0.1462",75
"0.1450",75
"0.1267",75
"0.1014",75
"0.0857",75
"0.0629",75
"0.0339",75
"0.0202",75
"0.0097",75
"0.9055",74
"0.8895",74
"0.7664",74
"0.7128",74
"0.6500",74
"0.6282",74
"0.5694",74
"0.5188",74
"0.4308",74
"0.4018",74
"0.4008",74
"0.3871",74
"0.3122",74
"0.2880",74
"0.2724",74
"0.2497",74
"0.2415",74
"0.2310",74
"0.2094",74
"0.1688",74
"0.1593",74
"0.1104",74
"0.0952",74
"0.0951",74
"0.0833",74
"0.0646",74
"0.0354",74
"0.0331",74
"0.0326",74
"0.0290",74
"0.0238",74
"0.0225",74
"0.0197",74
"0.0085",74
"1.6667",73
"0.9595",73
"0.7032",73
"0.6065",73
"0.5484",73
"0.5245",73
"0.5079",73
"0.4231",73
"0.3825",73
"0.3514",73
"0.3481",73
"0.2820",73
"0.2702",73
"0.2670",73
"0.2423",73
"0.2135",73
"0.2122",73
"0.1976",73
"0.1863",73
"0.1851",73
"0.1600",73
"0.1590",73
"0.1576",73
"0.1522",73
"0.1464",73
"0.1330",73
"0.1277",73
"0.0818",73
"0.0741",73
"0.0327",73
"0.0288",73
"0.0265",73
"0.0169",73
"0.0107",73
"0.8572",72
"0.6440",72
"0.5232",72
"0.3888",72
"0.3797",72
"0.3399",72
"0.3289",72
"0.3182",72
"0.2896",72
"0.2518",72
"0.2352",72
"0.2256",72
"0.2174",72
"0.1853",72
"0.1212",72
"0.0889",72
"0.0641",72
"0.0495",72
"0.0101",72
"1.0910",71
"0.5860",71
"0.4086",71
"0.4063",71
"0.3975",71
"0.3650",71
"0.3590",71
"0.3513",71
"0.3295",71
"0.3134",71
"0.2772",71
"0.2405",71
"0.2301",71
"0.1993",71
"0.1880",71
"0.1746",71
"0.1443",71
"0.1276",71
"0.1165",71
"0.1056",71
"0.0828",71
"0.0696",71
"0.0590",71
"0.0550",71
"0.0228",71
"0.0105",71
"0.7896",70
"0.7641",70
"0.7166",70
"0.6422",70
"0.5622",70
"0.5364",70
"0.5076",70
"0.5018",70
"0.4954",70
"0.4524",70
"0.4440",70
"0.3620",70
"0.3554",70
"0.3168",70
"0.3077",70
"0.3060",70
"0.2793",70
"0.2764",70
"0.2462",70
"0.2401",70
"0.2264",70
"0.2085",70
"0.1928",70
"0.1904",70
"0.1900",70
"0.1814",70
"0.1800",70
"0.1597",70
"0.1543",70
"0.1247",70
"0.1064",70
"0.0940",70
"0.0916",70
"0.0806",70
"0.0800",70
"0.0609",70
"0.0485",70
"0.0300",70
"0.0187",70
"0.0075",70
"0.0055",70
"0.7568",69
"0.4432",69
"0.4287",69
"0.3684",69
"0.3646",69
"0.3613",69
"0.3142",69
"0.3100",69
"0.3076",69
"0.2872",69
"0.2706",69
"0.2556",69
"0.2520",69
"0.2516",69
"0.2513",69
"0.2458",69
"0.1838",69
"0.1664",69
"0.1371",69
"0.1109",69
"0.0963",69
"0.0522",69
"0.0268",69
"0.0237",69
"1.1112",68
"0.7320",68
"0.5820",68
"0.4314",68
"0.4058",68
"0.3927",68
"0.3918",68
"0.3887",68
"0.3690",68
"0.3667",68
"0.3251",68
"0.3237",68
"0.2950",68
"0.2751",68
"0.2575",68
"0.2485",68
"0.2417",68
"0.2322",68
"0.2271",68
"0.2214",68
"0.2175",68
"0.2040",68
"0.1947",68
"0.1914",68
"0.1897",68
"0.1840",68
"0.1632",68
"0.1611",68
"0.1586",68
"0.1540",68
"0.1418",68
"0.1324",68
"0.1293",68
"0.1207",68
"0.0975",68
"0.0667",68
"0.0576",68
"0.0572",68
"0.0537",68
"0.0203",68
"0.0188",68
"0.0114",68
"0.0112",68
"0.0104",68
"2.5000",67
"1.3334",67
"1.1610",67
"0.7194",67
"0.6154",67
"0.5840",67
"0.5026",67
"0.4914",67
"0.4760",67
"0.4750",67
"0.4635",67
"0.4535",67
"0.4098",67
"0.4043",67
"0.3980",67
"0.3175",67
"0.3120",67
"0.3043",67
"0.2944",67
"0.2374",67
"0.2233",67
"0.2049",67
"0.1996",67
"0.1794",67
"0.1733",67
"0.1642",67
"0.1491",67
"0.1436",67
"0.1075",67
"0.1002",67
"0.0859",67
"0.0713",67
"0.0703",67
"0.0693",67
"0.0678",67
"0.0192",67
"1.0920",66
"0.7560",66
"0.5410",66
"0.5227",66
"0.5050",66
"0.4740",66
"0.4160",66
"0.3858",66
"0.3816",66
"0.3668",66
"0.3588",66
"0.3507",66
"0.3300",66
"0.2924",66
"0.2540",66
"0.2463",66
"0.2346",66
"0.2338",66
"0.2311",66
"0.2252",66
"0.2172",66
"0.2130",66
"0.2120",66
"0.1780",66
"0.1719",66
"0.1645",66
"0.1518",66
"0.1453",66
"0.1260",66
"0.0796",66
"0.0699",66
"0.0651",66
"0.0154",66
"0.8957",65
"0.8799",65
"0.8730",65
"0.8526",65
"0.7488",65
"0.7269",65
"0.7059",65
"0.6462",65
"0.6456",65
"0.6222",65
"0.5920",65
"0.5514",65
"0.4736",65
"0.4568",65
"0.3739",65
"0.3552",65
"0.3254",65
"0.3201",65
"0.3150",65
"0.3012",65
"0.2958",65
"0.2850",65
"0.2846",65
"0.2006",65
"0.1809",65
"0.1660",65
"0.1408",65
"0.1286",65
"0.1197",65
"0.1155",65
"0.1102",65
"0.0976",65
"0.0931",65
"0.0780",65
"0.0530",65
"0.0262",65
"0.0214",65
"0.0152",65
"4.0000",64
"1.1111",64
"1.0400",64
"0.9453",64
"0.8778",64
"0.8252",64
"0.7122",64
"0.6567",64
"0.5070",64
"0.4708",64
"0.4266",64
"0.4158",64
"0.4067",64
"0.4010",64
"0.3771",64
"0.3618",64
"0.3556",64
"0.3486",64
"0.3243",64
"0.2906",64
"0.2808",64
"0.2626",64
"0.1983",64
"0.1972",64
"0.1887",64
"0.1734",64
"0.1672",64
"0.1316",64
"0.1167",64
"0.0926",64
"0.0769",64
"0.0470",64
"0.0259",64
"0.0210",64
"0.0019",64
"2.2500",63
"1.0964",63
"0.9098",63
"0.8720",63
"0.8253",63
"0.7620",63
"0.7530",63
"0.7328",63
"0.6420",63
"0.6316",63
"0.6250",63
"0.5744",63
"0.5544",63
"0.5478",63
"0.4992",63
"0.4989",63
"0.4298",63
"0.4176",63
"0.4143",63
"0.3726",63
"0.3504",63
"0.3500",63
"0.3294",63
"0.2883",63
"0.2814",63
"0.2769",63
"0.2410",63
"0.2316",63
"0.2190",63
"0.1598",63
"0.1530",63
"0.1459",63
"0.1302",63
"0.0597",63
"0.0578",63
"0.0528",63
"0.0418",63
"0.0390",63
"0.0388",63
"0.0368",63
"0.0332",63
"0.0312",63
"0.0302",63
"0.0279",63
"0.0231",63
"0.0190",63
"0.0103",63
"0.0027",63
"1.6383",62
"0.7344",62
"0.6792",62
"0.6786",62
"0.6522",62
"0.6136",62
"0.5706",62
"0.4926",62
"0.4896",62
"0.4770",62
"0.4515",62
"0.4454",62
"0.4320",62
"0.4065",62
"0.3909",62
"0.3468",62
"0.3095",62
"0.3048",62
"0.2685",62
"0.2548",62
"0.2381",62
"0.1977",62
"0.1932",62
"0.1804",62
"0.1766",62
"0.1662",62
"0.1649",62
"0.1648",62
"0.1580",62
"0.1421",62
"0.1376",62
"0.1195",62
"0.1161",62
"0.1133",62
"0.1077",62
"0.0831",62
"0.0663",62
"0.0620",62
"0.0524",62
"0.0289",62
"0.0144",62
"0.0014",62
"1.6550",61
"0.8190",61
"0.6579",61
"0.6224",61
"0.6190",61
"0.5904",61
"0.5517",61
"0.5020",61
"0.4422",61
"0.4114",61
"0.4082",61
"0.3916",61
"0.3882",61
"0.3702",61
"0.3633",61
"0.3515",61
"0.3385",61
"0.3384",61
"0.3270",61
"0.3082",61
"0.2986",61
"0.2786",61
"0.2667",61
"0.2467",61
"0.2459",61
"0.2199",61
"0.2046",61
"0.1950",61
"0.1946",61
"0.1902",61
"0.1810",61
"0.1595",61
"0.1552",61
"0.1047",61
"0.0656",61
"0.0069",61
"1.0056",60
"0.7907",60
"0.6504",60
"0.6120",60
"0.5900",60
"0.5882",60
"0.5716",60
"0.5412",60
"0.5358",60
"0.4884",60
"0.4768",60
"0.4734",60
"0.4731",60
"0.4689",60
"0.4278",60
"0.4201",60
"0.4172",60
"0.3981",60
"0.3626",60
"0.3586",60
"0.3540",60
"0.3472",60
"0.3453",60
"0.3432",60
"0.3364",60
"0.3310",60
"0.2952",60
"0.2818",60
"0.2619",60
"0.2538",60
"0.2484",60
"0.2437",60
"0.2272",60
"0.2258",60
"0.2210",60
"0.2177",60
"0.2168",60
"0.1740",60
"0.1577",60
"0.1479",60
"0.1404",60
"0.1299",60
"0.1188",60
"0.1158",60
"0.0679",60
"0.0623",60
"0.0591",60
"0.0516",60
"0.0364",60
"0.0081",60
"1.5252",59
"1.2632",59
"1.2280",59
"1.0064",59
"0.9412",59
"0.9192",59
"0.8970",59
"0.8824",59
"0.8330",59
"0.8060",59
"0.7700",59
"0.7410",59
"0.7058",59
"0.6515",59
"0.6471",59
"0.6290",59
"0.6272",59
"0.6252",59
"0.5396",59
"0.5179",59
"0.4650",59
"0.4608",59
"0.4585",59
"0.4371",59
"0.4275",59
"0.4220",59
"0.4174",59
"0.3855",59
"0.3648",59
"0.3402",59
"0.3346",59
"0.3273",59
"0.2815",59
"0.2686",59
"0.2664",59
"0.2652",59
"0.2541",59
"0.2432",59
"0.2292",59
"0.2162",59
"0.1892",59
"0.1735",59
"0.1571",59
"0.1442",59
"0.1413",59
"0.1266",59
"0.1259",59
"0.0484",59
"0.0335",59
"0.0274",59
"0.0141",59
"0.0093",59
"1.1428",58
"1.1382",58
"1.0833",58
"0.9492",58
"0.9090",58
"0.8649",58
"0.7871",58
"0.7551",58
"0.7104",58
"0.6824",58
"0.6112",58
"0.6090",58
"0.5448",58
"0.5238",58
"0.4842",58
"0.4556",58
"0.4140",58
"0.4122",58
"0.4107",58
"0.3954",58
"0.3928",58
"0.3736",58
"0.3700",58
"0.3660",58
"0.3622",58
"0.3322",58
"0.3284",58
"0.3202",58
"0.3140",58
"0.3071",58
"0.2955",58
"0.2912",58
"0.2740",58
"0.2235",58
"0.2200",58
"0.2118",58
"0.2033",58
"0.1922",58
"0.1745",58
"0.1445",58
"0.1412",58
"0.1278",58
"0.1065",58
"0.0983",58
"0.0852",58
"0.0700",58
"0.0686",58
"0.0412",58
"0.0209",58
"0.0118",58
"5.0000",57
"1.1250",57
"1.0535",57
"0.9072",57
"0.8742",57
"0.8595",57
"0.7528",57
"0.7172",57
"0.6396",57
"0.6234",57
"0.5777",57
"0.5652",57
"0.5482",57
"0.5172",57
"0.4944",57
"0.4860",57
"0.4203",57
"0.4127",57
"0.4116",57
"0.3889",57
"0.3804",57
"0.3800",57
"0.3712",57
"0.3438",57
"0.3210",57
"0.2919",57
"0.2900",57
"0.2876",57
"0.2738",57
"0.2246",57
"0.2072",57
"0.1718",57
"0.1469",57
"0.1402",57
"0.1343",57
"0.1320",57
"0.1303",57
"0.1128",57
"0.1072",57
"0.0723",57
"0.0608",57
"0.0535",57
"0.0494",57
"0.0466",57
"0.0400",57
"0.0147",57
"1.4118",56
"1.2858",56
"0.8700",56
"0.8096",56
"0.7844",56
"0.7142",56
"0.7126",56
"0.7060",56
"0.6628",56
"0.6333",56
"0.6020",56
"0.5817",56
"0.5776",56
"0.5508",56
"0.5359",56
"0.5250",56
"0.4910",56
"0.4758",56
"0.4592",56
"0.4360",56
"0.4296",56
"0.4264",56
"0.4210",56
"0.3892",56
"0.3764",56
"0.3738",56
"0.3709",56
"0.3312",56
"0.3138",56
"0.2879",56
"0.2782",56
"0.2642",56
