"pass_muni","Count"
"0.0117",2534
"0.0126",2520
"0.0125",2518
"0.0122",2518
"0.0119",2513
"0.0116",2498
"0.0109",2488
"0.0120",2440
"0.0123",2369
"0.0118",2365
"0.0124",2359
"0.0121",2353
"0.0133",2341
"0.0132",2265
"0.0128",2218
"0.0140",2152
"0.0135",2133
"0.0129",2122
"0.0136",2117
"0.0134",2117
"0.0131",2106
"0.0137",2105
"0.0130",2082
"0.0142",2079
"0.0127",2069
"0.0141",2068
"0.0143",2050
"0.0153",2037
"0.0138",2023
"0.0147",2016
"0.0148",1968
"0.0144",1962
"0.0160",1921
"0.0139",1913
"0.0156",1909
"0.0146",1908
"0.0145",1885
"0.0151",1874
"0.0150",1866
"0.0157",1822
"0.0155",1795
"0.0152",1792
"0.0154",1789
"0.0149",1787
"0.0159",1777
"0.0162",1744
"0.0161",1736
"0.0163",1732
"0.0158",1711
"0.0168",1694
"0.0176",1677
"0.0171",1675
"0.0167",1661
"0.0164",1652
"0.0166",1634
"0.0179",1587
"0.0180",1574
"0.0183",1542
"0.0170",1542
"0.0185",1536
"0.0174",1534
"0.0175",1527
"0.0169",1515
"0.0186",1514
"0.0188",1511
"0.0181",1502
"0.0165",1480
"0.0172",1479
"0.0204",1474
"0.0173",1474
"0.0193",1453
"0.0177",1446
"0.0190",1444
"0.0182",1439
"0.0195",1424
"0.0203",1398
"0.0194",1396
"0.0187",1391
"0.0184",1385
"0.0200",1384
"0.0196",1371
"0.0192",1353
"0.0207",1344
"0.0210",1342
"0.0191",1342
"0.0197",1314
"0.0198",1311
"0.0178",1306
"0.0189",1297
"0.0209",1289
"0.0202",1289
"0.0208",1281
"0.0229",1268
"0.0199",1257
"0.0205",1233
"0.0212",1231
"0.0201",1226
"0.0220",1225
"0.0216",1220
"0.0227",1217
"0.0206",1216
"0.0213",1215
"0.0215",1208
"0.0219",1200
"0.0222",1197
"0.0224",1192
"0.0214",1167
"0.0211",1161
"0.0235",1156
"0.0218",1154
"0.0217",1151
"0.0243",1143
"0.0228",1140
"0.0221",1134
"0.0223",1130
"0.0246",1096
"0.0266",1088
"0.0233",1087
"0.0244",1084
"0.0225",1083
"0.0231",1074
"0.0238",1073
"0.0247",1058
"0.0250",1052
"0.0241",1048
"0.0232",1046
"0.0240",1034
"0.0251",1030
"0.0226",1030
"0.0253",1028
"0.0236",1028
"0.0242",1022
"0.0234",1020
"0.0239",1019
"0.0230",1015
"0.0252",1010
"0.0278",1008
"0.0248",1002
"0.0269",998
"0.0259",993
"0.0260",992
"0.0282",979
"0.0272",977
"0.0263",975
"0.0256",974
"0.0258",966
"0.0262",965
"0.0273",961
"0.0249",960
"0.0261",952
"0.0271",951
"0.0276",948
"0.0287",931
"0.0283",928
"0.0300",927
"0.0264",925
"0.0291",922
"0.0245",921
"0.0279",916
"0.0255",912
"0.0268",910
"0.0285",906
"0.0293",900
"0.0270",898
"0.0333",891
"0.0320",891
"0.0237",891
"0.0286",889
"0.0254",878
"0.0319",877
"0.0317",876
"0.0280",874
"0.0299",867
"0.0305",866
"0.0267",866
"0.0274",865
"0.0257",865
"0.0292",864
"0.0275",862
"0.0306",860
"0.0297",848
"0.0311",846
"0.0310",846
"0.0284",846
"0.0265",846
"0.0303",845
"0.0295",842
"0.0294",841
"0.0277",837
"0.0314",836
"0.0329",833
"0.0326",829
"0.0342",828
"0.0316",826
"0.0337",822
"0.0325",821
"0.0298",821
"0.0281",818
"0.0328",812
"0.0312",812
"0.0309",807
"0.0307",807
"0.0335",798
"0.0327",795
"0.0331",792
"0.0288",792
"0.0321",786
"0.0323",783
"0.0338",781
"0.0289",780
"0.0322",773
"0.0313",771
"0.0324",770
"0.0302",770
"0.0296",768
"0.0301",766
"0.0353",759
"0.0315",757
"0.0339",756
"0.0308",747
"0.0357",745
"0.0290",744
"0.0334",743
"0.0318",742
"0.0304",742
"0.0330",738
"0.0361",735
"0.0366",728
"0.0362",722
"0.0347",721
"0.0352",719
"0.0336",717
"0.0355",710
"0.0341",710
"0.0346",709
"0.0363",707
"0.0343",707
"0.0354",705
"0.0349",704
"0.0386",703
"0.0391",695
"0.0400",690
"0.0371",684
"0.0344",682
"0.0332",682
"0.0351",681
"0.0387",679
"0.0372",678
"0.0380",676
"0.0370",676
"0.0345",676
"0.0375",671
"0.0340",671
"0.0374",666
"0.0356",665
"0.0368",664
"0.0348",662
"0.0377",657
"0.0358",651
"0.0365",649
"0.0388",646
"0.0376",644
"0.0390",643
"0.0399",641
"0.0410",640
"0.0350",640
"0.0369",638
"0.0381",636
"0.0364",633
"0.0440",632
"0.0385",632
"0.0408",631
"0.0404",630
"0.0412",629
"0.0360",628
"0.0389",625
"0.0373",625
"0.0425",624
"0.0395",622
"0.0450",621
"0.0359",619
"0.0419",617
"0.0392",614
"0.0382",613
"0.0383",609
"0.0379",608
"0.0396",607
"0.0394",604
"0.0447",600
"0.0409",600
"0.0434",599
"0.0427",599
"0.0439",597
"0.0428",597
"0.0420",594
"0.0414",588
"0.0455",587
"0.0499",585
"0.0405",584
"0.0407",583
"0.0367",582
"0.0466",580
"0.0429",580
"0.0415",580
"0.0437",579
"0.0393",579
"0.0453",576
"0.0411",575
"0.0413",571
"0.0406",570
"0.0430",569
"0.0431",566
"0.0445",565
"0.0458",564
"0.0460",562
"0.0378",560
"0.0452",559
"0.0443",559
"0.0402",555
"0.0416",554
"0.0384",551
"0.0418",550
"0.0397",550
"0.0511",549
"0.0482",548
"0.0470",548
"0.0468",546
"0.0465",546
"0.0423",546
"0.0487",543
"0.0433",543
"0.0478",542
"0.0476",540
"0.0436",540
"0.0444",538
"0.0500",537
"0.0401",537
"0.0457",536
"0.0398",535
"0.0421",534
"0.0435",532
"0.0422",532
"0.0475",529
"0.0464",528
"0.0463",528
"0.0462",526
"0.0492",515
"0.0441",514
"0.0496",511
"0.0446",511
"0.0544",510
"0.0481",509
"0.0490",508
"0.0461",507
"0.0448",507
"0.0521",504
"0.0501",504
"0.0424",504
"0.0403",504
"0.0442",502
"0.0502",501
"0.0505",500
"0.0417",497
"0.0469",496
"0.0479",495
"0.0432",495
"0.0488",494
"0.0515",493
"0.0516",492
"0.0577",490
"0.0474",490
"0.0456",490
"0.0537",489
"0.0485",489
"0.0484",487
"0.0459",487
"0.0426",486
"0.0489",484
"0.0473",484
"0.0518",483
"0.0531",482
"0.0618",480
"0.0530",480
"0.0451",480
"0.0472",478
"0.0471",478
"0.0522",476
"0.0517",476
"0.0491",476
"0.0504",475
"0.0579",473
"0.0467",473
"0.0493",472
"0.0592",471
"0.0495",468
"0.0574",467
"0.0486",466
"0.0568",465
"0.0552",464
"0.0512",464
"0.0510",464
"0.0597",463
"0.0514",463
"0.0525",462
"0.0506",462
"0.0519",461
"0.0477",461
"0.0529",460
"0.0585",458
"0.0520",458
"0.0644",457
"0.0438",455
"0.0449",454
"0.0581",453
"0.0507",452
"0.0503",448
"0.0543",446
"0.0533",446
"0.0454",446
"0.0556",444
"0.0509",443
"0.0561",442
"0.0578",440
"0.0498",440
"0.0571",439
"0.0483",438
"0.0546",437
"0.0540",435
"0.0631",434
"0.0611",433
"0.0535",433
"0.0604",432
"0.0591",432
"0.0494",432
"0.0554",430
"0.0569",427
"0.0542",427
"0.0536",427
"0.0589",426
"0.0548",426
"0.0513",426
"0.0609",425
"0.0547",425
"0.0595",424
"0.0553",424
"0.0541",424
"0.0606",423
"0.0563",423
"0.0559",423
"0.0527",420
"0.0565",418
"0.0557",417
"0.0567",416
"0.0549",415
"0.0508",415
"0.0620",413
"0.0572",413
"0.0532",412
"0.0497",412
"0.0596",411
"0.0671",410
"0.0558",407
"0.0587",406
"0.0603",405
"0.0528",405
"0.0480",405
"0.0580",403
"0.0555",403
"0.0636",401
"0.0583",401
"0.0658",400
"0.0632",400
"0.0621",400
"0.0612",400
"0.0551",400
"0.0545",398
"0.0539",398
"0.0560",397
"0.0590",395
"0.0601",394
"0.0570",394
"0.0672",393
"0.0652",393
"0.0615",392
"0.0624",391
"0.0617",390
"0.0523",390
"0.0642",388
"0.0600",388
"0.0566",387
"0.0564",387
"0.0627",386
"0.0610",386
"0.0649",383
"0.0637",380
"0.0629",380
"0.0538",380
"0.0679",379
"0.0678",378
"0.0605",378
"0.0524",377
"0.0614",376
"0.0710",375
"0.0657",375
"0.0645",375
"0.0582",374
"0.0576",374
"0.0616",373
"0.0575",373
"0.0562",373
"0.0534",373
"0.0663",371
"0.0683",370
"0.0693",369
"0.0650",369
"0.0623",369
"0.0667",367
"0.0665",367
"0.0588",367
"0.0602",366
"0.0662",364
"0.0594",364
"0.0747",363
"0.0651",363
"0.0550",361
"0.0619",360
"0.0630",359
"0.0526",359
"0.0670",357
"0.0648",357
"0.0628",356
"0.0598",356
"0.0694",355
"0.0639",355
"0.0625",355
"0.0734",352
"0.0687",352
"0.0758",351
"0.0622",351
"0.0584",350
"0.0640",349
"0.0702",347
"0.0681",347
"0.0689",345
"0.0643",345
"0.0756",343
"0.0720",342
"0.0608",342
"0.0772",341
"0.0655",341
"0.0647",341
"0.0613",341
"0.0731",340
"0.0695",339
"0.0684",339
"0.0674",339
"0.0666",339
"0.0586",339
"0.0708",337
"0.0664",337
"0.0634",337
"0.0633",337
"0.0722",336
"0.0733",334
"0.0713",334
"0.0771",333
"0.0696",333
"0.0746",332
"0.0743",332
"0.0686",331
"0.0776",330
"0.0751",330
"0.0705",330
"0.0692",330
"0.0673",330
"0.0573",330
"0.0725",329
"0.0685",328
"0.0626",328
"0.0724",327
"0.0661",327
"0.0682",326
"0.0669",326
"0.0742",324
"0.0704",324
"0.0773",323
"0.0735",323
"0.0728",323
"0.0646",323
"0.0635",322
"0.0676",320
"0.0656",320
"0.0599",320
"0.0732",319
"0.0740",318
"0.0607",318
"0.0805",317
"0.0729",317
"0.0726",317
"0.0593",316
"0.0697",315
"0.0827",314
"0.0799",313
"0.0767",313
"0.0748",312
"0.0739",312
"0.0718",310
"0.0688",309
"0.0641",309
"0.0638",309
"0.0851",308
"0.0790",308
"0.0706",308
"0.0796",306
"0.0759",306
"0.0659",306
"0.0839",304
"0.0783",304
"0.0781",303
"0.0770",303
"0.0757",303
"0.0668",303
"0.0753",301
"0.0723",301
"0.0780",300
"0.0778",300
"0.0719",300
"0.0871",299
"0.0815",299
"0.0786",299
"0.0736",299
"0.0701",299
"0.0698",299
"0.0675",299
"0.0813",298
"0.0788",298
"0.0703",297
"0.0845",296
"0.0763",296
"0.0824",295
"0.0745",295
"0.0715",295
"0.0717",294
"0.0768",293
"0.0699",293
"0.0819",292
"0.0750",292
"0.0712",292
"0.0711",292
"0.0834",291
"0.0749",291
"0.0716",291
"0.0787",290
"0.0760",290
"0.0714",290
"0.0707",290
"0.0660",290
"0.0754",289
"0.0802",287
"0.0700",287
"0.0691",287
"0.0811",286
"0.0680",286
"0.0894",285
"0.0803",285
"0.0864",284
"0.0761",282
"0.0744",282
"0.0727",282
"0.0764",281
"0.0832",278
"0.0752",278
"0.0741",278
"0.0822",277
"0.0808",277
"0.0821",276
"0.0677",276
"0.0853",275
"0.0816",275
"0.0878",274
"0.0738",274
"0.0653",274
"0.0721",273
"0.0817",272
"0.0791",272
"0.0766",271
"0.0842",269
"0.0838",269
"0.0800",269
"0.0730",269
"0.0884",268
"0.0826",268
"0.0709",267
"0.0893",266
"0.0965",265
"0.0793",265
"0.0784",265
"0.0779",265
"0.0891",264
"0.0862",264
"0.0762",264
"0.0865",263
"0.0863",263
"0.0777",263
"0.0820",262
"0.0785",262
"0.0690",262
"0.0846",261
"0.0774",261
"0.0973",260
"0.0755",260
"0.0954",259
"0.0861",259
"0.0795",259
"0.0792",259
"0.0775",259
"0.0765",259
"0.0857",258
"0.0856",258
"0.0831",258
"0.0830",258
"0.0789",258
"0.0950",256
"0.0882",256
"0.0881",256
"0.0782",255
"0.0909",254
"0.0654",254
"0.0933",253
"0.0898",253
"0.0737",252
"0.0869",251
"0.0854",251
"0.0849",251
"0.0917",250
"0.0874",250
"0.0860",250
"0.0835",250
"0.0926",249
"0.0850",249
"0.0823",249
"0.0801",249
"0.0794",248
"0.0952",247
"0.0879",247
"0.0896",246
"0.0855",246
"0.0868",245
"0.0829",245
"0.0968",244
"0.0938",244
"0.0929",244
"0.0836",244
"0.0914",243
"0.0872",243
"0.0837",243
"0.0818",243
"0.0809",243
"0.1184",242
"0.0901",242
"0.0825",242
"0.0807",242
"0.1000",241
"0.0887",241
"0.0876",241
"0.0833",241
"0.0828",241
"0.0806",241
"0.0804",241
"0.1018",240
"0.0946",240
"0.0915",240
"0.0897",240
"0.0840",240
"0.0798",240
"0.0797",240
"0.0959",239
"0.0883",239
"0.0847",239
"0.0843",239
"0.0769",239
"0.0911",238
"0.0866",238
"0.0844",238
"0.0916",237
"0.0852",237
"0.0907",236
"0.1046",235
"0.1004",235
"0.0873",235
"0.1027",234
"0.0905",234
"0.1045",233
"0.0877",233
"0.0870",232
"0.0848",232
"0.0927",231
"0.0814",231
"0.0810",231
"0.0947",230
"0.1032",229
"0.0899",228
"0.0922",227
"0.0859",227
"0.0841",227
"0.0880",226
"0.0931",225
"0.0951",224
"0.0912",224
"0.0906",224
"0.0976",223
"0.1143",222
"0.1047",222
"0.0977",222
"0.0963",222
"0.0943",222
"0.0892",222
"0.1236",220
"0.1161",220
"0.1020",220
"0.0928",220
"0.0889",220
"0.1005",219
"0.0940",219
"0.0903",219
"0.1061",218
"0.0988",218
"0.0960",218
"0.0919",218
"0.0908",218
"0.0904",218
"0.0858",218
"0.1224",217
"0.1056",217
"0.1039",217
"0.0998",217
"0.0934",217
"0.0930",217
"0.0925",217
"0.0900",217
"0.0885",217
"0.1155",216
"0.1088",216
"0.1019",216
"0.0939",216
"0.0937",216
"0.0924",216
"0.0974",214
"0.0971",214
"0.0966",214
"0.1071",213
"0.1012",213
"0.1074",212
"0.0975",212
"0.0955",212
"0.0812",212
"0.0942",211
"0.0983",210
"0.0979",210
"0.0967",210
"0.0999",209
"0.0948",209
"0.0921",209
"0.1073",208
"0.0875",208
"0.1110",207
"0.1036",207
"0.0958",207
"0.0945",207
"0.0969",206
"0.0936",206
"0.0890",206
"0.0888",206
"0.1052",205
"0.0992",205
"0.0964",205
"0.0886",205
"0.1028",204
"0.0994",204
"0.0978",204
"0.0941",204
"0.0932",204
"0.0972",203
"0.0962",203
"0.0944",203
"0.1133",202
"0.1060",202
"0.1059",202
"0.1023",202
"0.0997",202
"0.0953",202
"0.1051",201
"0.0918",201
"0.0867",201
"0.1114",200
"0.1094",200
"0.1062",200
"0.0993",200
"0.0895",200
"0.1218",199
"0.1113",199
"0.1070",199
"0.1136",198
"0.1026",198
"0.1041",197
"0.1007",197
"0.0902",197
"0.1058",196
"0.0985",196
"0.1194",195
"0.1177",195
"0.0990",195
"0.1108",194
"0.1075",194
"0.1050",194
"0.1025",194
"0.0970",194
"0.0956",194
"0.0913",194
"0.1199",193
"0.1033",193
"0.1017",193
"0.1011",193
"0.1010",193
"0.0935",193
"0.1169",192
"0.1098",192
"0.1030",192
"0.1171",191
"0.1170",191
"0.1015",191
"0.0987",191
"0.0957",191
"0.1057",190
"0.0996",190
"0.1006",189
"0.0982",189
"0.0980",188
"0.1146",187
"0.1066",187
"0.1001",187
"0.1179",186
"0.1158",186
"0.1125",186
"0.1024",186
"0.1086",185
"0.1034",185
"0.1029",185
"0.1016",185
"0.1149",184
"0.1103",184
"0.1099",184
"0.1044",184
"0.1022",184
"0.0989",184
"0.1271",183
"0.1190",183
"0.1180",183
"0.1040",183
"0.1175",182
"0.1130",182
"0.1035",182
"0.1013",182
"0.0920",182
"0.1429",181
"0.1138",181
"0.1084",181
"0.1031",181
"0.0991",181
"0.0986",181
"0.0981",181
"0.0995",180
"0.1140",179
"0.1069",179
"0.0910",179
"0.1351",178
"0.1262",178
"0.1248",178
"0.1241",178
"0.1127",178
"0.1126",178
"0.1096",178
"0.1095",178
"0.1055",178
"0.1049",178
"0.1037",178
"0.1207",177
"0.1150",177
"0.1132",177
"0.1116",177
"0.1093",177
"0.0923",177
"0.1178",176
"0.1157",176
"0.1090",176
"0.1082",176
"0.1065",176
"0.1009",176
"0.1368",175
"0.1203",175
"0.1068",175
"0.1003",175
"0.1189",174
"0.1134",174
"0.1105",174
"0.0984",174
"0.1187",173
"0.1120",173
"0.1080",173
"0.1357",172
"0.1102",172
"0.1053",172
"0.1153",171
"0.1144",171
"0.1139",171
"0.1100",171
"0.1391",170
"0.1310",170
"0.1213",170
"0.1147",170
"0.1109",170
"0.1091",170
"0.1014",170
"0.1008",170
"0.1377",169
"0.1219",169
"0.1212",169
"0.1087",169
"0.1042",169
"0.0961",169
"0.0949",169
"0.1232",168
"0.1249",167
"0.1211",167
"0.1253",166
"0.1137",166
"0.1129",166
"0.1076",166
"0.1072",166
"0.1054",166
"0.1208",165
"0.1106",165
"0.1247",164
"0.1192",164
"0.1145",164
"0.1122",164
"0.1107",164
"0.1038",164
"0.1222",163
"0.1156",163
"0.1154",163
"0.1119",163
"0.1117",163
"0.1131",162
"0.1124",162
"0.1081",162
"0.1077",162
"0.1067",162
"0.1228",161
"0.1227",161
"0.1097",161
"0.1048",161
"0.1362",160
"0.1287",160
"0.1280",160
"0.1243",160
"0.1148",160
"0.1115",160
"0.1303",159
"0.1225",159
"0.1223",159
"0.1197",159
"0.1111",159
"0.1085",159
"0.1191",158
"0.1159",158
"0.1152",158
"0.1118",158
"0.1021",158
"0.1425",157
"0.1162",157
"0.1064",157
"0.1043",157
"0.1315",156
"0.1237",156
"0.1202",156
"0.1166",156
"0.1348",155
"0.1334",155
"0.1258",155
"0.1242",155
"0.1216",155
"0.1352",154
"0.1343",154
"0.1301",154
"0.1259",154
"0.1089",154
"0.1272",153
"0.1269",153
"0.1260",153
"0.1245",153
"0.1183",153
"0.1167",153
"0.1165",153
"0.1135",153
"0.1002",153
"0.1455",152
"0.1204",152
"0.1101",152
"0.1209",151
"0.1341",150
"0.1306",150
"0.1278",150
"0.1233",150
"0.1188",150
"0.1172",150
"0.1514",149
"0.1254",149
"0.1182",149
"0.1104",149
"0.1546",148
"0.1324",148
"0.1317",148
"0.1215",148
"0.1164",148
"0.1112",148
"0.1078",148
"0.1367",147
"0.1289",147
"0.1458",146
"0.1304",146
"0.1296",146
"0.1279",146
"0.1229",146
"0.1210",146
"0.1173",146
"0.1141",146
"0.1300",145
"0.1291",145
"0.1195",145
"0.1181",145
"0.1163",145
"0.1128",145
"0.1732",144
"0.1326",144
"0.1274",144
"0.1581",143
"0.1347",143
"0.1079",143
"0.1267",142
"0.1257",142
"0.1250",142
"0.1240",142
"0.1220",142
"0.1611",141
"0.1397",141
"0.1299",141
"0.1205",141
"0.1142",141
"0.1593",140
"0.1544",140
"0.1515",140
"0.1462",140
"0.1447",140
"0.1263",140
"0.1235",140
"0.1217",140
"0.1186",140
"0.1123",140
"0.1283",139
"0.1410",138
"0.1363",138
"0.1290",138
"0.1387",137
"0.1374",137
"0.1275",137
"0.1266",137
"0.1244",137
"0.1230",137
"0.1174",137
"0.1151",137
"0.1330",136
"0.1251",136
"0.1214",136
"0.1200",136
"0.1332",135
"0.1201",135
"0.1198",135
"0.1196",135
"0.1176",135
"0.1484",134
"0.1358",134
"0.1354",134
"0.1563",133
"0.1375",133
"0.1337",133
"0.1320",133
"0.1298",133
"0.1286",133
"0.1285",133
"0.1234",133
"0.1231",133
"0.1092",133
"0.1309",132
"0.1292",132
"0.1221",132
"0.1160",132
"0.1417",131
"0.1384",131
"0.1370",131
"0.1277",131
"0.1246",131
"0.1168",131
"0.1437",130
"0.1401",130
"0.1395",130
"0.1312",130
"0.1293",130
"0.1284",130
"0.1063",130
"0.1605",129
"0.1569",129
"0.1533",129
"0.1509",129
"0.1318",129
"0.1302",129
"0.1185",129
"0.1534",128
"0.1516",128
"0.1365",128
"0.1268",128
"0.1655",127
"0.1541",127
"0.1431",127
"0.1385",127
"0.1353",127
"0.1349",127
"0.1335",127
"0.1331",127
"0.1322",127
"0.1316",127
"0.1307",127
"0.1295",127
"0.1281",127
"0.1265",127
"0.1453",126
"0.1409",126
"0.1346",126
"0.1340",126
"0.1339",126
"0.1609",125
"0.1505",125
"0.1466",125
"0.1464",125
"0.1327",125
"0.1325",125
"0.1256",125
"0.1576",124
"0.1565",124
"0.1507",124
"0.1481",124
"0.1467",124
"0.1412",124
"0.1404",124
"0.1311",124
"0.1270",124
"0.1261",124
"0.1239",124
"0.1638",123
"0.1535",123
"0.1500",123
"0.1336",123
"0.1333",123
"0.1323",123
"0.1121",123
"0.1539",122
"0.1452",122
"0.1428",122
"0.1416",122
"0.1386",122
"0.1373",122
"0.1364",122
"0.1356",122
"0.1350",122
"0.1319",122
"0.1193",122
"0.1503",121
"0.1408",121
"0.1402",121
"0.1392",121
"0.1305",121
"0.1297",121
"0.1441",120
"0.1411",120
"0.1372",120
"0.1542",119
"0.1499",119
"0.1371",119
"0.1366",119
"0.1342",119
"0.1308",119
"0.1288",119
"0.1206",119
"0.1676",118
"0.1532",118
"0.1444",118
"0.1438",118
"0.1403",118
"0.1381",118
"0.1379",118
"0.1376",118
"0.1282",118
"0.1252",118
"0.1617",117
"0.1564",117
"0.1518",117
"0.1511",117
"0.1497",117
"0.1487",117
"0.1475",117
"0.1445",117
"0.1442",117
"0.1294",117
"0.1083",117
"0.1669",116
"0.1668",116
"0.1622",116
"0.1583",116
"0.1536",116
"0.1489",116
"0.1449",116
"0.1446",116
"0.1398",116
"0.1383",116
"0.1864",115
"0.1561",115
"0.1512",115
"0.1477",115
"0.1474",115
"0.1461",115
"0.1394",115
"0.1338",115
"0.1314",115
"0.1588",114
"0.1571",114
"0.1439",114
"0.1407",114
"0.1378",114
"0.1328",114
"0.1555",113
"0.1550",113
"0.1531",113
"0.1504",113
"0.1473",113
"0.1454",113
"0.1345",113
"0.1276",113
"0.1273",113
"0.2047",112
"0.1635",112
"0.1558",112
"0.1525",112
"0.1494",112
"0.1478",112
"0.1469",112
"0.1382",112
"0.1321",112
"0.1591",111
"0.1586",111
"0.1522",111
"0.1520",111
"0.1480",111
"0.1479",111
"0.1388",111
"0.1854",110
"0.1696",110
"0.1629",110
"0.1566",110
"0.1468",110
"0.1436",110
"0.1255",110
"0.1826",109
"0.1637",109
"0.1585",109
"0.1443",109
"0.1393",109
"0.1380",109
"0.1360",109
"0.1830",108
"0.1730",108
"0.1649",108
"0.1619",108
"0.1538",108
"0.1486",108
"0.1456",108
"0.1451",108
"0.1344",108
"0.1226",108
"0.1621",107
"0.1527",107
"0.1517",107
"0.1496",107
"0.1472",107
"0.1457",107
"0.1430",107
"0.1313",107
"0.1238",107
"0.1949",106
"0.1711",106
"0.1698",106
"0.1578",106
"0.1530",106
"0.1519",106
"0.1485",106
"0.1459",106
"0.1427",106
"0.1543",105
"0.1450",105
"0.1420",105
"0.1414",105
"0.1406",105
"0.1900",104
"0.1827",104
"0.1693",104
"0.1692",104
"0.1652",104
"0.1502",104
"0.1424",104
"0.1389",104
"0.1355",104
"0.1329",104
"0.1776",103
"0.1706",103
"0.1667",103
"0.1641",103
"0.1631",103
"0.1615",103
"0.1590",103
"0.1587",103
"0.1513",103
"0.1501",103
"0.1422",103
"0.1400",103
"0.1821",102
"0.1802",102
"0.1745",102
"0.1664",102
"0.1663",102
"0.1642",102
"0.1627",102
"0.1613",102
"0.1608",102
"0.1594",102
"0.1553",102
"0.1440",102
"0.1779",101
"0.1742",101
"0.1731",101
"0.1714",101
"0.1691",101
"0.1644",101
"0.1618",101
"0.1572",101
"0.1529",101
"0.1510",101
"0.1498",101
"0.1495",101
"0.1491",101
"0.1490",101
"0.1488",101
"0.1435",101
"0.1421",101
"0.1785",100
"0.1650",100
"0.1634",100
"0.1575",100
"0.1557",100
"0.1552",100
"0.1434",100
"0.1870",99
"0.1770",99
"0.1678",99
"0.1612",99
"0.1607",99
"0.1570",99
"0.1426",99
"0.2312",98
"0.2079",98
"0.1774",98
"0.1755",98
"0.1750",98
"0.1710",98
"0.1685",98
"0.1648",98
"0.1639",98
"0.1562",98
"0.1549",98
"0.1493",98
"0.1470",98
"0.1390",98
"0.1369",98
"0.2310",97
"0.1626",97
"0.1624",97
"0.1577",97
"0.1574",97
"0.1528",97
"0.1465",97
"0.2133",96
"0.2048",96
"0.1941",96
"0.1804",96
"0.1746",96
"0.1712",96
"0.1700",96
"0.1697",96
"0.1683",96
"0.1656",96
"0.1645",96
"0.1597",96
"0.1540",96
"0.1423",96
"0.1399",96
"0.1727",95
"0.1705",95
"0.1483",95
"0.1396",95
"0.1361",95
"0.1914",94
"0.1708",94
"0.1657",94
"0.1616",94
"0.1602",94
"0.1595",94
"0.1589",94
"0.1560",94
"0.1545",94
"0.1524",94
"0.1521",94
"0.1463",94
"0.1419",94
"0.1858",93
"0.1756",93
"0.1677",93
"0.1666",93
"0.1643",93
"0.1636",93
"0.1614",93
"0.1547",93
"0.1359",93
"0.2046",92
"0.1836",92
"0.1834",92
"0.1819",92
"0.1797",92
"0.1723",92
"0.1681",92
"0.1660",92
"0.1658",92
"0.1646",92
"0.1625",92
"0.1556",92
"0.1551",92
"0.1482",92
"0.1415",92
"0.1405",92
"0.1264",92
"0.2430",91
"0.2053",91
"0.1995",91
"0.1934",91
"0.1920",91
"0.1846",91
"0.1841",91
"0.1817",91
"0.1792",91
"0.1754",91
"0.1672",91
"0.1640",91
"0.1633",91
"0.1584",91
"0.1508",91
"0.1471",91
"0.1413",91
"0.2454",90
"0.1999",90
"0.1948",90
"0.1929",90
"0.1918",90
"0.1887",90
"0.1835",90
"0.1751",90
"0.1623",90
"0.1620",90
"0.1603",90
"0.1600",90
"0.1492",90
"0.1432",90
"0.1893",89
"0.1820",89
