"comm_veh","Count"
"1.6270",73
"3.0000",72
"2.6075",72
"2.5988",72
"2.4515",72
"2.3001",72
"2.2178",72
"2.0689",72
"2.0162",72
"2.0074",72
"1.9148",72
"1.7322",72
"4.1318",71
"2.3872",71
"2.3608",71
"2.1657",71
"2.0022",71
"1.9803",71
"1.9035",71
"1.7668",71
"1.7541",71
"1.5399",71
"1.3979",71
"5.8200",70
"3.7574",70
"3.6814",70
"2.6484",70
"2.3070",70
"2.1800",70
"2.1506",70
"2.0657",70
"2.0224",70
"1.9427",70
"1.8763",70
"1.7529",70
"1.6585",70
"1.5517",70
"3.8018",69
"3.1672",69
"2.9747",69
"2.9100",69
"2.5912",69
"2.5118",69
"2.2279",69
"2.2035",69
"2.1056",69
"2.1049",69
"1.9715",69
"1.8636",69
"1.8284",69
"1.6837",69
"1.6029",69
"1.5816",69
"3.6118",68
"2.6910",68
"2.5732",68
"2.3403",68
"2.2888",68
"2.1574",68
"2.1513",68
"2.1264",68
"2.0775",68
"2.0041",68
"1.9710",68
"1.9615",68
"1.9513",68
"1.7872",68
"1.7860",68
"1.7126",68
"1.6762",68
"1.6446",68
"1.5807",68
"1.5219",68
"1.4771",68
"4.0750",67
"3.7394",67
"3.0206",67
"2.9101",67
"2.6117",67
"2.5736",67
"2.4631",67
"2.3837",67
"2.3765",67
"2.3374",67
"2.0382",67
"1.9789",67
"1.8948",67
"1.8610",67
"1.8099",67
"1.7188",67
"1.7132",67
"1.7085",67
"1.6627",67
"2.9796",66
"2.5235",66
"2.5108",66
"2.2904",66
"2.2124",66
"2.1571",66
"2.0647",66
"2.0584",66
"2.0009",66
"1.9639",66
"1.8572",66
"1.8165",66
"1.6529",66
"1.5072",66
"3.2178",65
"3.1044",65
"2.4115",65
"2.3714",65
"2.3017",65
"2.2168",65
"2.2074",65
"2.0833",65
"2.0767",65
"2.0178",65
"1.9697",65
"1.9503",65
"1.8961",65
"1.8324",65
"1.7810",65
"1.7299",65
"1.7281",65
"1.6863",65
"1.6502",65
"1.6481",65
"1.6329",65
"1.6293",65
"1.4966",65
"3.1472",64
"3.0298",64
"2.4341",64
"2.4322",64
"2.3426",64
"2.2680",64
"2.2614",64
"2.2280",64
"2.0856",64
"2.0368",64
"1.9313",64
"1.8962",64
"1.8646",64
"1.8205",64
"1.7037",64
"1.7000",64
"1.6873",64
"1.6754",64
"1.6686",64
"1.6165",64
"1.5961",64
"4.3020",63
"4.1958",63
"3.8688",63
"3.6644",63
"3.5178",63
"3.3138",63
"3.1546",63
"2.9065",63
"2.4420",63
"2.3074",63
"2.2598",63
"2.1483",63
"2.1237",63
"2.1229",63
"2.1200",63
"2.1023",63
"2.0742",63
"2.0709",63
"2.0679",63
"2.0437",63
"1.8751",63
"1.8735",63
"1.8397",63
"1.8088",63
"1.7156",63
"1.6710",63
"5.4048",62
"4.2272",62
"3.4768",62
"3.2038",62
"3.2014",62
"3.1646",62
"3.1238",62
"2.3012",62
"2.2834",62
"2.2657",62
"2.2094",62
"2.1982",62
"2.1518",62
"2.1356",62
"2.0954",62
"2.0187",62
"2.0139",62
"1.8831",62
"1.8824",62
"1.8661",62
"1.7620",62
"1.7421",62
"1.6874",62
"1.6849",62
"1.6311",62
"1.6192",62
"1.4573",62
"3.5220",61
"2.8688",61
"2.7024",61
"2.2978",61
"2.2822",61
"2.2688",61
"2.2286",61
"2.1841",61
"2.1741",61
"2.1646",61
"2.0980",61
"2.0845",61
"2.0809",61
"2.0126",61
"2.0123",61
"1.9970",61
"1.9256",61
"1.8959",61
"1.8882",61
"1.8584",61
"1.8405",61
"1.8382",61
"1.7802",61
"1.7795",61
"1.7704",61
"1.6978",61
"1.6676",61
"1.6557",61
"1.5630",61
"1.4630",61
"4.0888",60
"3.5670",60
"2.8256",60
"2.4564",60
"2.3611",60
"2.2378",60
"2.2291",60
"2.1656",60
"2.1097",60
"2.0391",60
"1.9990",60
"1.7993",60
"1.7605",60
"1.7527",60
"1.7486",60
"1.7379",60
"1.7349",60
"1.7002",60
"1.6961",60
"1.6891",60
"1.6538",60
"1.5585",60
"1.5222",60
"1.4748",60
"4.4070",59
"3.9300",59
"3.5168",59
"3.3784",59
"2.5525",59
"2.4560",59
"2.3939",59
"2.3778",59
"2.1441",59
"2.0677",59
"2.0390",59
"2.0067",59
"1.9485",59
"1.9475",59
"1.9009",59
"1.8950",59
"1.8749",59
"1.8507",59
"1.8339",59
"1.8309",59
"1.8206",59
"1.8006",59
"1.7966",59
"1.7434",59
"1.7401",59
"1.7251",59
"1.7054",59
"1.6999",59
"1.6613",59
"1.6380",59
"1.5699",59
"1.5289",59
"1.4675",59
"4.3894",58
"3.9684",58
"3.7142",58
"3.6966",58
"3.6488",58
"3.5826",58
"3.4704",58
"3.3506",58
"2.8946",58
"2.3889",58
"2.1111",58
"2.0722",58
"2.0667",58
"2.0104",58
"1.9811",58
"1.9523",58
"1.9113",58
"1.8883",58
"1.8559",58
"1.6996",58
"1.6862",58
"1.6604",58
"1.6372",58
"1.5647",58
"1.5294",58
"1.5105",58
"1.5068",58
"4.0970",57
"3.8560",57
"3.6160",57
"3.3582",57
"2.5492",57
"2.5380",57
"2.4730",57
"2.4532",57
"2.3519",57
"2.2658",57
"2.2486",57
"2.2045",57
"2.0454",57
"2.0233",57
"1.9944",57
"1.9898",57
"1.9871",57
"1.9804",57
"1.9180",57
"1.8880",57
"1.8823",57
"1.8736",57
"1.7462",57
"1.7388",57
"1.7387",57
"1.7291",57
"1.7186",57
"1.6648",57
"1.6392",57
"1.5835",57
"1.5617",57
"1.5598",57
"1.5284",57
"1.5104",57
"1.4465",57
"4.2046",56
"4.1908",56
"3.9734",56
"3.8800",56
"3.7424",56
"3.2136",56
"2.9292",56
"2.4711",56
"2.3649",56
"2.2556",56
"2.2187",56
"2.2116",56
"2.1994",56
"2.1898",56
"2.1328",56
"2.0235",56
"2.0158",56
"1.9877",56
"1.9340",56
"1.8679",56
"1.8567",56
"1.8561",56
"1.8333",56
"1.8290",56
"1.8155",56
"1.7887",56
"1.7076",56
"1.6847",56
"1.6140",56
"1.5798",56
"1.5500",56
"1.5255",56
"1.5211",56
"3.9704",55
"3.8350",55
"3.7648",55
"3.6426",55
"3.3198",55
"2.9888",55
"2.5053",55
"2.3062",55
"2.2900",55
"2.2593",55
"2.2433",55
"2.1902",55
"2.1614",55
"2.1478",55
"2.0932",55
"2.0710",55
"2.0248",55
"1.9660",55
"1.9374",55
"1.9259",55
"1.9114",55
"1.8992",55
"1.8852",55
"1.8754",55
"1.8708",55
"1.8473",55
"1.8195",55
"1.8087",55
"1.7868",55
"1.7694",55
"1.7450",55
"1.7013",55
"1.6715",55
"1.6101",55
"1.6024",55
"1.5999",55
"1.5815",55
"1.5719",55
"1.5692",55
"1.5428",55
"1.5267",55
"1.4979",55
"1.4887",55
"4.9128",54
"4.7172",54
"4.3808",54
"4.2880",54
"3.9026",54
"3.7738",54
"3.6254",54
"3.4300",54
"3.4000",54
"3.3918",54
"2.5634",54
"2.3055",54
"2.2906",54
"2.2358",54
"2.2202",54
"2.0733",54
"2.0620",54
"2.0505",54
"2.0090",54
"1.9943",54
"1.9728",54
"1.9434",54
"1.9297",54
"1.9163",54
"1.9119",54
"1.8951",54
"1.8628",54
"1.8499",54
"1.8468",54
"1.7865",54
"1.7660",54
"1.7411",54
"1.6916",54
"1.6129",54
"1.5595",54
"1.5476",54
"1.5200",54
"1.4882",54
"1.4819",54
"4.0618",53
"4.0112",53
"3.6228",53
"3.0964",53
"2.4518",53
"2.4319",53
"2.2633",53
"2.2134",53
"2.1611",53
"2.1430",53
"2.1169",53
"2.0824",53
"2.0569",53
"2.0107",53
"1.9613",53
"1.9293",53
"1.9216",53
"1.9141",53
"1.9066",53
"1.8876",53
"1.8706",53
"1.8616",53
"1.8390",53
"1.8132",53
"1.8090",53
"1.8074",53
"1.7920",53
"1.7884",53
"1.7635",53
"1.7087",53
"1.7004",53
"1.6957",53
"1.6624",53
"1.6326",53
"1.6304",53
"1.6161",53
"1.5854",53
"1.5614",53
"1.5442",53
"1.5109",53
"1.5100",53
"4.6080",52
"4.4358",52
"4.1686",52
"3.9582",52
"3.8724",52
"3.7432",52
"3.3098",52
"3.0578",52
"2.5382",52
"2.4127",52
"2.2613",52
"2.2586",52
"2.2090",52
"2.1655",52
"2.1488",52
"2.1453",52
"2.1327",52
"2.1196",52
"2.1094",52
"2.0877",52
"2.0552",52
"2.0489",52
"1.9527",52
"1.9322",52
"1.9168",52
"1.8891",52
"1.8884",52
"1.8657",52
"1.8634",52
"1.8544",52
"1.8186",52
"1.8144",52
"1.8049",52
"1.7753",52
"1.7713",52
"1.7572",52
"1.7166",52
"1.7028",52
"1.5820",52
"1.5737",52
"1.5623",52
"1.5437",52
"1.5386",52
"4.0280",51
"4.0012",51
"3.7462",51
"3.6292",51
"3.4324",51
"3.4134",51
"3.1974",51
"2.9894",51
"2.9674",51
"2.9638",51
"2.6520",51
"2.6468",51
"2.6141",51
"2.5472",51
"2.4687",51
"2.4032",51
"2.3184",51
"2.2916",51
"2.2577",51
"2.1803",51
"2.1786",51
"2.1552",51
"2.0903",51
"2.0502",51
"2.0446",51
"2.0433",51
"2.0223",51
"2.0195",51
"1.9912",51
"1.9732",51
"1.9608",51
"1.9568",51
"1.9559",51
"1.9158",51
"1.9062",51
"1.8301",51
"1.8093",51
"1.8021",51
"1.7960",51
"1.7815",51
"1.7761",51
"1.6586",51
"1.6381",51
"1.6133",51
"1.5404",51
"1.5019",51
"4.7208",50
"3.8070",50
"3.7588",50
"3.6948",50
"3.5730",50
"3.5668",50
"3.4282",50
"2.7245",50
"2.6528",50
"2.5208",50
"2.5143",50
"2.3213",50
"2.3177",50
"2.3170",50
"2.3138",50
"2.2554",50
"2.2173",50
"2.1171",50
"2.1166",50
"2.0344",50
"2.0316",50
"2.0229",50
"1.9983",50
"1.9850",50
"1.9836",50
"1.9258",50
"1.9145",50
"1.8938",50
"1.8801",50
"1.8545",50
"1.8460",50
"1.8436",50
"1.7985",50
"1.7890",50
"1.7390",50
"1.7370",50
"1.7354",50
"1.7062",50
"1.7017",50
"1.6811",50
"1.6327",50
"1.5959",50
"1.5346",50
"1.4607",50
"5.5150",49
"4.4624",49
"4.2016",49
"3.9904",49
"3.8378",49
"3.4598",49
"3.2944",49
"2.7946",49
"2.7482",49
"2.4589",49
"2.4458",49
"2.4055",49
"2.3265",49
"2.3126",49
"2.3117",49
"2.3008",49
"2.1828",49
"2.1783",49
"2.1705",49
"2.1380",49
"2.1342",49
"2.0372",49
"1.9645",49
"1.9603",49
"1.9455",49
"1.9211",49
"1.9202",49
"1.9176",49
"1.9006",49
"1.9005",49
"1.8932",49
"1.8676",49
"1.8517",49
"1.8258",49
"1.7893",49
"1.7637",49
"1.7265",49
"1.7157",49
"1.6877",49
"1.6720",49
"1.6582",49
"1.6052",49
"1.5287",49
"1.4934",49
"1.4524",49
"4.9830",48
"4.3056",48
"3.9164",48
"3.8808",48
"3.7332",48
"3.7138",48
"3.6180",48
"3.6012",48
"3.1061",48
"2.9415",48
"2.9306",48
"2.9146",48
"2.9062",48
"2.7998",48
"2.5192",48
"2.4240",48
"2.4079",48
"2.3990",48
"2.3191",48
"2.2964",48
"2.2797",48
"2.2410",48
"2.2195",48
"2.1047",48
"2.1026",48
"2.0789",48
"2.0245",48
"1.9742",48
"1.9330",48
"1.9292",48
"1.9137",48
"1.9056",48
"1.9026",48
"1.8476",48
"1.8142",48
"1.8041",48
"1.7987",48
"1.7888",48
"1.7632",48
"1.7584",48
"1.7127",48
"1.6854",48
"1.6785",48
"1.6649",48
"1.6626",48
"1.6444",48
"1.5840",48
"1.5545",48
"1.4306",48
"5.2152",47
"4.8810",47
"4.4756",47
"4.1294",47
"3.9498",47
"3.6800",47
"3.5006",47
"3.4758",47
"3.2274",47
"3.2116",47
"3.0984",47
"3.0720",47
"2.9824",47
"2.6789",47
"2.4859",47
"2.4566",47
"2.3606",47
"2.3333",47
"2.3303",47
"2.3204",47
"2.2733",47
"2.1762",47
"2.1721",47
"2.1502",47
"2.1263",47
"2.1174",47
"2.0989",47
"2.0651",47
"2.0533",47
"2.0441",47
"1.9443",47
"1.9402",47
"1.9337",47
"1.8615",47
"1.8078",47
"1.8061",47
"1.7669",47
"1.7312",47
"1.7214",47
"1.6425",47
"1.6414",47
"1.6330",47
"1.6105",47
"1.4780",47
"4.8840",46
"4.1090",46
"3.9924",46
"3.5344",46
"3.4968",46
"3.4868",46
"3.2744",46
"3.2048",46
"3.0726",46
"2.8793",46
"2.8464",46
"2.6781",46
"2.6281",46
"2.6264",46
"2.5780",46
"2.5322",46
"2.4835",46
"2.3873",46
"2.3710",46
"2.3667",46
"2.3341",46
"2.3100",46
"2.3006",46
"2.2974",46
"2.2121",46
"2.1804",46
"2.1707",46
"2.1577",46
"2.1410",46
"2.1179",46
"2.0295",46
"1.9954",46
"1.9795",46
"1.9365",46
"1.8804",46
"1.8654",46
"1.8504",46
"1.7851",46
"1.7501",46
"1.7288",46
"1.6276",46
"1.5916",46
"1.5903",46
"1.5901",46
"1.5511",46
"1.4983",46
"1.4649",46
"5.7687",45
"5.6361",45
"5.5221",45
"4.9030",45
"4.8002",45
"4.2148",45
"3.9202",45
"3.8630",45
"3.7768",45
"3.6802",45
"3.5456",45
"3.5066",45
"3.5054",45
"3.4264",45
"2.9598",45
"2.7372",45
"2.5773",45
"2.5547",45
"2.4834",45
"2.4252",45
"2.3202",45
"2.2966",45
"2.2681",45
"2.2406",45
"2.1495",45
"2.1351",45
"2.1092",45
"2.0906",45
"2.0756",45
"2.0753",45
"2.0603",45
"1.9995",45
"1.9939",45
"1.9893",45
"1.9839",45
"1.9609",45
"1.9546",45
"1.9467",45
"1.8894",45
"1.8867",45
"1.8846",45
"1.8819",45
"1.8689",45
"1.8659",45
"1.8602",45
"1.8556",45
"1.8539",45
"1.8486",45
"1.8018",45
"1.7913",45
"1.7701",45
"1.7420",45
"1.7256",45
"1.7187",45
"1.7104",45
"1.6211",45
"1.5597",45
"1.4484",45
"1.4416",45
"1.3647",45
"5.0998",44
"4.7216",44
"4.6678",44
"4.2458",44
"4.0244",44
"3.7860",44
"3.7526",44
"3.6700",44
"3.5584",44
"3.4252",44
"3.4096",44
"2.6695",44
"2.4987",44
"2.4936",44
"2.4405",44
"2.4306",44
"2.3881",44
"2.3522",44
"2.3114",44
"2.3109",44
"2.2863",44
"2.2664",44
"2.2609",44
"2.2417",44
"2.2167",44
"2.1992",44
"2.1567",44
"2.0459",44
"2.0152",44
"1.9862",44
"1.9755",44
"1.9205",44
"1.7819",44
"1.7725",44
"1.7634",44
"1.7616",44
"1.7478",44
"1.7321",44
"1.7123",44
"1.7089",44
"1.6949",44
"1.6899",44
"1.5715",44
"1.5696",44
"1.5658",44
"1.5581",44
"1.5368",44
"1.4577",44
"1.4321",44
"5.6136",43
"5.1450",43
"4.9932",43
"4.6002",43
"4.1550",43
"4.1224",43
"3.9344",43
"3.7140",43
"3.5720",43
"3.2746",43
"3.0128",43
"2.9736",43
"2.7100",43
"2.5691",43
"2.5452",43
"2.5175",43
"2.5144",43
"2.5002",43
"2.4309",43
"2.4162",43
"2.4003",43
"2.3388",43
"2.3233",43
"2.3113",43
"2.2724",43
"2.2524",43
"2.2340",43
"2.2252",43
"2.2235",43
"2.1888",43
"2.1588",43
"2.1104",43
"2.0611",43
"2.0188",43
"1.9536",43
"1.9240",43
"1.9186",43
"1.9123",43
"1.8975",43
"1.8588",43
"1.8394",43
"1.8133",43
"1.7499",43
"1.6945",43
"1.6941",43
"1.6844",43
"1.6779",43
"1.6692",43
"1.6634",43
"1.6515",43
"1.6287",43
"1.6214",43
"1.6177",43
"1.5764",43
"1.5340",43
"1.4825",43
"1.4536",43
"1.4467",43
"1.4379",43
"1.3819",43
"1.3712",43
"6.1977",42
"6.1254",42
"5.9736",42
"5.7117",42
"5.5638",42
"5.2767",42
"4.9797",42
"4.9707",42
"4.5186",42
"3.8988",42
"3.8156",42
"3.5388",42
"3.4644",42
"3.3882",42
"3.3674",42
"3.1443",42
"3.0340",42
"2.9663",42
"2.7863",42
"2.6985",42
"2.6475",42
"2.4019",42
"2.3282",42
"2.2829",42
"2.2427",42
"2.2415",42
"2.2332",42
"2.2307",42
"2.1951",42
"2.1772",42
"2.1509",42
"2.1469",42
"2.1429",42
"2.0910",42
"2.0615",42
"2.0398",42
"2.0150",42
"2.0145",42
"1.9901",42
"1.9725",42
"1.9481",42
"1.9442",42
"1.9129",42
"1.8768",42
"1.8403",42
"1.8366",42
"1.8046",42
"1.7998",42
"1.7969",42
"1.7804",42
"1.7778",42
"1.7304",42
"1.7109",42
"1.6591",42
"1.6514",42
"1.6157",42
"1.6123",42
"1.5862",42
"1.5238",42
"1.5215",42
"1.4986",42
"1.4928",42
"1.4292",42
"1.4029",42
"1.3739",42
"5.7297",41
"5.2968",41
"5.0514",41
"5.0286",41
"5.0028",41
"4.6857",41
"3.9796",41
"3.8986",41
"3.8854",41
"3.7992",41
"3.7764",41
"3.6810",41
"3.6748",41
"3.6032",41
"3.4116",41
"3.3690",41
"3.3282",41
"2.9546",41
"2.9122",41
"2.9015",41
"2.8402",41
"2.8246",41
"2.7158",41
"2.6513",41
"2.6477",41
"2.6297",41
"2.3252",41
"2.2973",41
"2.2505",41
"2.2465",41
"2.2329",41
"2.2246",41
"2.2058",41
"2.1675",41
"2.1623",41
"2.1282",41
"2.0071",41
"2.0050",41
"2.0007",41
"1.9959",41
"1.9951",41
"1.9864",41
"1.9548",41
"1.9529",41
"1.9435",41
"1.9238",41
"1.9030",41
"1.8665",41
"1.8221",41
"1.7943",41
"1.7733",41
"1.7662",41
"1.7327",41
"1.7205",41
"1.7106",41
"1.6797",41
"1.6696",41
"1.6532",41
"1.6498",41
"1.6489",41
"1.6207",41
"1.6199",41
"1.5904",41
"1.5155",41
"1.5061",41
"1.4936",41
"1.4550",41
"1.4130",41
"1.3688",41
"1.3564",41
"1.3405",41
"5.6148",40
"5.1864",40
"5.0676",40
"4.7562",40
"4.6462",40
"4.5800",40
"4.5314",40
"4.5108",40
"4.4832",40
"4.2288",40
"4.1774",40
"4.1610",40
"4.0496",40
"4.0410",40
"3.9082",40
"3.9020",40
"3.8987",40
"3.8970",40
"3.8680",40
"3.8662",40
"3.7329",40
"3.6840",40
"3.6795",40
"3.5604",40
"3.5070",40
"3.4812",40
"3.4152",40
"3.3653",40
"3.2752",40
"3.1170",40
"3.0478",40
"23.3487",40
"2.9978",40
"2.9542",40
"2.9446",40
"2.8288",40
"2.6342",40
"2.6289",40
"2.4658",40
"2.4648",40
"2.3379",40
"2.2725",40
"2.2551",40
"2.2455",40
"2.2385",40
"2.2211",40
"2.2062",40
"2.1854",40
"2.1530",40
"2.1431",40
"2.1398",40
"2.1390",40
"2.1031",40
"2.0990",40
"2.0965",40
"2.0530",40
"2.0524",40
"2.0436",40
"2.0383",40
"2.0328",40
"1.9781",40
"1.9773",40
"1.9758",40
"1.9492",40
"1.8984",40
"1.8971",40
"1.8725",40
"1.8632",40
"1.8371",40
"1.8147",40
"1.8069",40
"1.7925",40
"1.7656",40
"1.7574",40
"1.7535",40
"1.7509",40
"1.7276",40
"1.7120",40
"1.7116",40
"1.7046",40
"1.6935",40
"1.6780",40
"1.6759",40
"1.6621",40
"1.6572",40
"1.6558",40
"1.6266",40
"1.6233",40
"1.5670",40
"1.5482",40
"1.4068",40
"1.4003",40
"1.3930",40
"5.7486",39
"4.9647",39
"4.9416",39
"4.8916",39
"4.8682",39
"4.8228",39
"4.7744",39
"4.4188",39
"4.1484",39
"3.8802",39
"3.6964",39
"3.6318",39
"3.6042",39
"3.5786",39
"3.5744",39
"3.4646",39
"3.4124",39
"2.7302",39
"2.6951",39
"2.6318",39
"2.6100",39
"2.5949",39
"2.4262",39
"2.4209",39
"2.3725",39
"2.3345",39
"2.3003",39
"2.2749",39
"2.2722",39
"2.2630",39
"2.2517",39
"2.2373",39
"2.2295",39
"2.1940",39
"2.1273",39
"2.0934",39
"2.0842",39
"2.0725",39
"2.0692",39
"2.0649",39
"2.0514",39
"2.0508",39
"2.0361",39
"2.0349",39
"2.0043",39
"1.9932",39
"1.9740",39
"1.9719",39
"1.9051",39
"1.9012",39
"1.8853",39
"1.8809",39
"1.8656",39
"1.8487",39
"1.8421",39
"1.8211",39
"1.8141",39
"1.8103",39
"1.8032",39
"1.7683",39
"1.7134",39
"1.6870",39
"1.6782",39
"1.6623",39
"1.6568",39
"1.6119",39
"1.6001",39
"1.5975",39
"1.5740",39
"1.5424",39
"1.5351",39
"1.5173",39
"1.5010",39
"1.4741",39
"1.4065",39
"7.6648",38
"6.0000",38
"5.9592",38
"5.5575",38
"5.3505",38
"5.1976",38
"5.0050",38
"4.7980",38
"4.7132",38
"4.6018",38
"4.5594",38
"4.4560",38
"4.4356",38
"4.3690",38
"4.3292",38
"4.2400",38
"4.1888",38
"4.1286",38
"4.0830",38
"4.0236",38
"3.9572",38
"3.9136",38
"3.7692",38
"3.6832",38
"3.6518",38
"3.6274",38
"3.3352",38
"3.2332",38
"3.2250",38
"23.0057",38
"2.8754",38
"2.8243",38
"2.7590",38
"2.6800",38
"2.6747",38
"2.6687",38
"2.6238",38
"2.6190",38
"2.4676",38
"2.3696",38
"2.3477",38
"2.3255",38
"2.3033",38
"2.2787",38
"2.2424",38
"2.2365",38
"2.2316",38
"2.2103",38
"2.2038",38
"2.2032",38
"2.1933",38
"2.1624",38
"2.1616",38
"2.1515",38
"2.1465",38
"2.1344",38
"2.1259",38
"2.1046",38
"2.0604",38
"2.0476",38
"2.0426",38
"2.0077",38
"2.0025",38
"1.9934",38
"1.9825",38
"1.9763",38
"1.9721",38
"1.9452",38
"1.9246",38
"1.9190",38
"1.9155",38
"1.9098",38
"1.8967",38
"1.8786",38
"1.8723",38
"1.8709",38
"1.8626",38
"1.8530",38
"1.8510",38
"1.8501",38
"1.8139",38
"1.7986",38
"1.7907",38
"1.7760",38
"1.7757",38
"1.7375",38
"1.7355",38
"1.7317",38
"1.7241",38
"1.7021",38
"1.6970",38
"1.6740",38
"1.6725",38
"1.6706",38
"1.6657",38
"1.6413",38
"1.6132",38
"1.5487",38
"1.5256",38
"1.5233",38
"1.5131",38
"1.4924",38
"1.4706",38
"5.3184",37
"5.0877",37
"4.6340",37
"4.6200",37
"4.5832",37
"4.5040",37
"4.4582",37
"4.4242",37
"4.3544",37
"4.2190",37
"4.1876",37
"4.1418",37
"4.0782",37
"4.0044",37
"3.9606",37
"3.9290",37
"3.8204",37
"3.7956",37
"3.7950",37
"3.7630",37
"3.7220",37
"3.5571",37
"3.4727",37
"3.4638",37
"3.4406",37
"3.4108",37
"3.3832",37
"3.3524",37
"3.3164",37
"3.3130",37
"3.1630",37
"3.1614",37
"3.0987",37
"3.0798",37
"3.0210",37
"23.4229",37
"21.0147",37
"2.5695",37
"2.5358",37
"2.5171",37
"2.4290",37
"2.3781",37
"2.3562",37
"2.3524",37
"2.3336",37
"2.3171",37
"2.3168",37
"2.3108",37
"2.3040",37
"2.2756",37
"2.2744",37
"2.2741",37
"2.2647",37
"2.2615",37
"2.2535",37
"2.2364",37
"2.2260",37
"2.2186",37
"2.1910",37
"2.1852",37
"2.1824",37
"2.1715",37
"2.1367",37
"2.1197",37
"2.1083",37
"2.0907",37
"2.0786",37
"2.0716",37
"2.0630",37
"2.0429",37
"2.0369",37
"2.0348",37
"2.0209",37
"2.0051",37
"1.9974",37
"1.9858",37
"1.9731",37
"1.9595",37
"1.9588",37
"1.9488",37
"1.9067",37
"1.8956",37
"1.8913",37
"1.8872",37
"1.8535",37
"1.8330",37
"1.8222",37
"1.8029",37
"1.7924",37
"1.7345",37
"1.7343",37
"1.7286",37
"1.7283",37
"1.6889",37
"1.6853",37
"1.5455",37
"1.4805",37
"1.4554",37
